종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
005610,SPC삼립,KOSPI,,57800,-1600,-2.69,60000,60000,57600,24635,1433112700,498756720200,8629009
011810,STX,KOSPI,,7800,-90,-1.14,7990,8050,7800,303262,2387112230,241939830600,31017927
465770,STX그린로지스,KOSPI,,13660,100,0.74,13780,14350,13250,3787646,52140996110,97956297120,7171032
077970,STX엔진,KOSPI,,16770,-140,-0.83,16800,17410,16300,191090,3194087810,385859320080,23008904
071970,STX중공업,KOSPI,,16970,-200,-1.16,17290,17940,16800,308706,5327374580,484538792930,28552669
002820,SUN&L,KOSPI,,3470,170,5.15,3330,3760,3300,476009,1686372000,43749721830,12607989
289080,SV인베스트먼트,KOSDAQ,중견기업부,2090,30,1.46,2060,2095,2060,355343,737710380,111259060000,53234000
084870,TBH글로벌,KOSPI,,1489,27,1.85,1462,1504,1450,32525,48171152,31055803491,20856819
002710,TCC스틸,KOSPI,,54300,2700,5.23,53500,55700,53000,358580,19497730800,1423403747100,26213697
089230,THE E&M,KOSDAQ,중견기업부,1725,-90,-4.96,1815,1844,1725,104927,187824460,37246106850,21591946
032540,TJ미디어,KOSDAQ,우량기업부,5820,30,0.52,5760,5830,5750,16074,92623000,81081964380,13931609
022220,TKG애강,KOSDAQ,우량기업부,1121,-2,-0.18,1123,1135,1116,13906,15692896,58061723059,51794579
069260,TKG휴켐스,KOSPI,,19600,-20,-0.1,19510,19740,19450,50520,988984500,801220324800,40878588
007980,TP,KOSPI,,1686,-14,-0.82,1691,1714,1684,115906,196111446,86281269180,51175130
048770,TPC,KOSDAQ,벤처기업부,3280,45,1.39,3245,3305,3245,23817,78028865,51489410480,15697991
246690,TS인베스트먼트,KOSDAQ,중견기업부,1198,5,0.42,1194,1202,1194,45337,54251784,49690478676,41477862
317240,TS트릴리온,KOSDAQ,벤처기업부,328,-5,-1.5,336,342,326,1122306,372953571,35175022416,107240922
002900,TYM,KOSPI,,4265,-75,-1.73,4340,4340,4230,165736,707599215,192142327340,45050956
024070,WISCOM,KOSPI,,2330,-5,-0.21,2335,2380,2320,3689,8615325,35710600540,15326438
057030,YBM넷,KOSDAQ,중견기업부,3620,30,0.84,3540,3620,3530,27004,96369080,59051963140,16312697
037270,YG PLUS,KOSPI,,3410,70,2.1,3310,3420,3305,52650,177799325,216294288100,63429410
040300,YTN,KOSDAQ,우량기업부,3185,-80,-2.45,3245,3310,3170,74296,238858690,133770000000,42000000
051390,YW,KOSDAQ,벤처기업부,3735,10,0.27,3720,3755,3705,8374,31237250,42412299480,11355368
052220,iMBC,KOSDAQ,중견기업부,2925,5,0.17,2920,2940,2870,39718,115649125,67275000000,23000000
079940,가비아,KOSDAQ,우량기업부,15330,-20,-0.13,15260,15410,15200,12000,183744580,207502035720,13535684
078890,가온그룹,KOSDAQ,중견기업부,5320,50,0.95,5280,5330,5220,58019,307255490,92622035240,17410157
000500,가온전선,KOSPI,,47550,2450,5.43,45100,50800,45100,1080486,52492229500,349870332300,7357946
399720,가온칩스,KOSDAQ,벤처기업부,69700,400,0.58,70000,72000,69500,112716,7925686100,800735904000,11488320
296520,가이아코퍼레이션,KONEX,일반기업부,2095,95,4.75,2095,2095,2095,6,12570,9777381760,4667008
036620,감성코퍼레이션,KOSDAQ,우량기업부,3975,65,1.66,3940,4020,3910,395471,1571012545,360710945700,90744892
000860,강남제비스코,KOSPI,,25950,0,0.0,25950,26250,25450,8078,208354700,168675000000,6500000
217730,강스템바이오텍,KOSDAQ,기술성장기업부,2895,-200,-6.46,3100,3140,2875,953381,2829445505,162276761355,56054149
035250,강원랜드,KOSPI,,14000,-160,-1.13,14140,14140,13960,960352,13454018930,2995167000000,213940500
114190,강원에너지,KOSDAQ,우량기업부,16160,-1140,-6.59,17320,17450,16000,467241,7759089250,422148294080,26123038
094480,갤럭시아머니트리,KOSDAQ,중견기업부,5890,-40,-0.67,5970,6070,5860,99357,592216290,231063745820,39229838
