종목코드,종목명,종가,대비,등락률,상장시가총액
247540,에코프로비엠,178000,-400,-0.22,17408639.0
196170,알테오젠,284500,-1500,-0.52,15120756.0
86520,에코프로,89600,100,0.11,11929195.0
28300,HLB,63900,-1100,-1.69,8361019.0
348370,엔켐,233500,18000,8.35,4747183.0
68760,셀트리온제약,88100,-1700,-1.89,3664665.0
58470,리노공업,232500,0,0.0,3543851.0
250,삼천당제약,142000,-1500,-1.05,3330961.0
214150,클래시스,51400,200,0.39,3289575.0
403870,HPSP,39150,-1250,-3.09,3246872.0
277810,레인보우로보틱스,160400,-2000,-1.23,3111737.0
263750,펄어비스,45300,150,0.33,2910428.0
257720,실리콘투,47950,-1800,-3.62,2918872.0
145020,휴젤,231500,1500,0.65,2917834.0
141080,리가켐바이오,71800,-700,-0.97,2625536.0
78600,대주전자재료,150400,-1200,-0.79,2328281.0
39030,이오테크닉스,186000,9300,5.26,2291436.0
357780,솔브레인,291500,500,0.17,2267452.0
89030,테크윙,59100,4600,8.44,2207600.0
5290,동진쎄미켐,40100,-250,-0.62,2061721.0
35900,JYP Ent.,55800,400,0.72,1982713.0
41510,에스엠,76300,-1000,-1.29,1799881.0
35760,CJ ENM,82700,-900,-1.08,1813541.0
204270,제이앤티씨,30200,650,2.2,1747024.0
240810,원익IPS,35200,-500,-1.4,1727753.0
237690,에스티팜,86900,800,0.93,1691380.0
293490,카카오게임즈,20200,-250,-1.22,1669441.0
36930,주성엔지니어링,34700,600,1.76,1674248.0
214450,파마리서치,156200,4400,2.9,1626514.0
417200,LS머트리얼즈,23250,-250,-1.06,1572924.0
178320,서진시스템,28100,350,1.26,1565238.0
137400,피엔티,67100,-900,-1.32,1525934.0
31980,피에스케이홀딩스,71300,-2200,-2.99,1537399.0
64760,티씨케이,128600,-2500,-1.91,1501405.0
121600,나노신소재,121000,2000,1.68,1475725.0
33100,제룡전기,90900,10700,13.34,1460073.0
36830,솔브레인홀딩스,68900,500,0.73,1444423.0
112040,위메이드,41850,-750,-1.76,1420744.0
67160,SOOP,120600,3400,2.9,1386269.0
39200,오스코텍,35450,950,2.75,1346886.0
328130,루닛,46500,-1400,-2.92,1340624.0
95340,ISC,63700,-1600,-2.45,1350253.0
140860,파크시스템스,187100,1100,0.59,1306063.0
352480,씨앤씨인터내셔널,128300,11100,9.47,1284789.0
166090,하나머티리얼즈,63600,-300,-0.47,1257860.0
281740,레이크머티리얼즈,18910,750,4.13,1242965.0
253450,스튜디오드래곤,41050,-250,-0.61,1233901.0
18290,브이티,34250,1900,5.87,1226082.0
214370,케어젠,22300,-1000,-4.29,1197845.0
84370,유진테크,52200,-500,-0.95,1196217.0
86900,메디톡스,158700,11000,7.45,1158271.0
