종목코드,종목명,종가,대비,등락률,상장시가총액
247540,에코프로비엠,215500,-6500,-2.93,21076190.0
86520,에코프로,103700,-3800,-3.53,13806446.0
196170,알테오젠,253000,-16000,-5.95,13446578.0
28300,HLB,59200,-400,-0.67,7746046.0
348370,엔켐,278000,-1500,-0.54,5381493.0
58470,리노공업,274500,8000,3.0,4184031.0
68760,셀트리온제약,93100,-600,-0.64,3872648.0
403870,HPSP,40200,400,1.01,3333953.0
277810,레인보우로보틱스,160600,-2000,-1.23,3115617.0
214150,클래시스,47400,1100,2.38,3033577.0
250,삼천당제약,121500,-5500,-4.33,2850083.0
145020,휴젤,213000,0,0.0,2558959.0
263750,펄어비스,39650,-550,-1.37,2547427.0
141080,리가켐바이오,67000,-2000,-2.9,2450012.0
357780,솔브레인,315000,2500,0.8,2450248.0
39030,이오테크닉스,198200,0,0.0,2441735.0
5290,동진쎄미켐,43200,-300,-0.69,2221106.0
35900,JYP Ent.,57700,-400,-0.69,2050225.0
237690,에스티팜,104500,-5100,-4.65,2018733.0
41510,에스엠,85600,2100,2.51,2019263.0
78600,대주전자재료,123100,-800,-0.65,1905661.0
36830,솔브레인홀딩스,89500,9600,12.02,1876283.0
35760,CJ ENM,85600,-200,-0.23,1877136.0
240810,원익IPS,36800,-50,-0.14,1806288.0
137400,피엔티,76700,-1300,-1.67,1744250.0
293490,카카오게임즈,20150,-400,-1.95,1665309.0
178320,서진시스템,30000,700,2.39,1671073.0
36930,주성엔지니어링,34200,-1300,-3.66,1650123.0
31980,피에스케이홀딩스,74800,200,0.27,1612867.0
95340,ISC,72300,300,0.42,1532547.0
328130,루닛,51500,-1100,-2.09,1484777.0
64760,티씨케이,126200,2200,1.77,1473385.0
121600,나노신소재,120300,600,0.5,1467188.0
112040,위메이드,42050,-850,-1.98,1427534.0
281740,레이크머티리얼즈,21350,100,0.47,1403347.0
214450,파마리서치,131500,700,0.54,1369313.0
39200,오스코텍,36000,-1500,-4.0,1367783.0
34230,파라다이스,14050,40,0.29,1289391.0
253450,스튜디오드래곤,42050,450,1.08,1263960.0
67160,SOOP,110500,-5400,-4.66,1270172.0
140860,파크시스템스,180600,2600,1.46,1259840.0
214370,케어젠,22600,-700,-3.0,1213959.0
140410,메지온,40500,-350,-0.86,1205062.0
84370,유진테크,51000,-100,-0.2,1168718.0
204270,제이앤티씨,20150,970,5.06,1165647.0
67310,하나마이크론,22650,550,2.49,1181639.0
393890,더블유씨피,33700,-600,-1.75,1135573.0
298380,에이비엘바이오,23750,-1200,-4.81,1137448.0
383310,에코프로에이치엔,72200,-700,-0.96,1105016.0
166090,하나머티리얼즈,53600,1300,2.49,1060083.0
96530,씨젠,20500,-150,-0.73,1070633.0
213420,덕산네오룩스,42550,-1800,-4.06,1056567.0
86900,메디톡스,143700,4800,3.46,1048794.0
222800,심텍,32450,-600,-1.82,1033667.0
195940,HK이노엔,36250,-1050,-2.82,1026959.0
56190,에스에프에이,28100,650,2.37,1009036.0
74600,원익QnC,38600,-2350,-5.74,1014717.0
365340,성일하이텍,83100,-1200,-1.42,1008427.0
225570,넥슨게임즈,15040,900,6.36,989689.0
319660,피에스케이,33850,350,1.04,980523.0
287410,제이시스메디칼,12760,2000,18.59,977899.0
67630,HLB생명과학,9060,-240,-2.58,975325.0
25900,동화기업,19020,400,2.15,961500.0
352480,씨앤씨인터내셔널,94500,6300,7.14,946317.0
85660,차바이오텍,16680,-450,-2.63,939325.0
183300,코미코,87500,-1600,-1.8,915310.0
98460,고영,13200,-330,-2.44,906243.0
36540,SFA반도체,5420,-40,-0.73,891375.0
36810,에프에스티,39600,1400,3.66,861569.0
9520,포스코엠텍,20350,-350,-1.69,847429.0
310210,보로노이,47550,-700,-1.45,845450.0
222080,씨아이에스,11840,380,3.32,845860.0
101490,에스앤에스텍,39450,-750,-1.87,846260.0
86450,동국제약,18670,-330,-1.74,830068.0
119860,커넥트웨이브,17910,0,0.0,811348.0
48410,현대바이오,19210,-360,-1.84,764954.0
418550,제이오,24000,400,1.69,762535.0
122870,와이지엔터테인먼트,41200,-450,-1.08,770071.0
64550,바이오니아,29300,-700,-2.33,756242.0
278280,천보,75000,-1000,-1.32,750000.0
41190,우리기술투자,8790,-540,-5.79,738360.0
131970,두산테스나,41750,-550,-1.3,710024.0
58970,엠로,62300,900,1.47,698515.0
3380,하림지주,6140,20,0.33,687715.0
7390,네이처셀,10680,-360,-3.26,685198.0
15750,성우하이텍,8380,-20,-0.24,670400.0
372170,윤성에프앤씨,86200,-800,-0.92,687794.0
336570,원텍,7680,350,4.77,686136.0
