종목코드,종목명,종가,대비,등락률,상장시가총액
247540,에코프로비엠,200500,-8500,-4.07,19609169.0
196170,알테오젠,265000,-3500,-1.3,14084360.0
86520,에코프로,99400,-1600,-1.58,13233951.0
28300,HLB,62300,-1300,-2.04,8151666.0
348370,엔켐,297000,21000,7.61,5749293.0
58470,리노공업,261000,-3000,-1.14,3978259.0
68760,셀트리온제약,93400,400,0.43,3885127.0
214150,클래시스,52600,-1700,-3.13,3366375.0
277810,레인보우로보틱스,164000,-1000,-0.61,3181577.0
403870,HPSP,38050,-1150,-2.93,3155644.0
257720,실리콘투,51200,500,0.99,3091929.0
250,삼천당제약,123000,-5400,-4.21,2885269.0
263750,펄어비스,43800,1500,3.55,2814056.0
145020,휴젤,221000,-9500,-4.12,2655070.0
39030,이오테크닉스,197700,9200,4.88,2435575.0
357780,솔브레인,305000,-3000,-0.97,2372463.0
141080,리가켐바이오,63400,-1700,-2.61,2318370.0
78600,대주전자재료,146000,-3300,-2.21,2260167.0
5290,동진쎄미켐,41350,-700,-1.66,2125989.0
35900,JYP Ent.,57300,-400,-0.69,2036012.0
41510,에스엠,79900,-2100,-2.56,1884803.0
35760,CJ ENM,83400,-700,-0.83,1828891.0
137400,피엔티,80000,-3500,-4.19,1819296.0
237690,에스티팜,92800,-1400,-1.49,1792712.0
240810,원익IPS,35300,-550,-1.53,1732662.0
417200,LS머트리얼즈,25600,-2700,-9.54,1731908.0
31980,피에스케이홀딩스,80000,2800,3.63,1724992.0
293490,카카오게임즈,20600,450,2.23,1702499.0
64760,티씨케이,141400,12400,9.61,1650845.0
36930,주성엔지니어링,34400,-1700,-4.71,1659773.0
89030,테크윙,43500,-400,-0.91,1624884.0
178320,서진시스템,29000,-500,-1.69,1615370.0
36830,솔브레인홀딩스,77100,-2500,-3.14,1616329.0
121600,나노신소재,126400,-9400,-6.92,1541584.0
95340,ISC,71100,300,0.42,1507111.0
328130,루닛,50400,-400,-0.79,1453064.0
214450,파마리서치,131800,-5900,-4.28,1372436.0
112040,위메이드,40000,-750,-1.84,1357939.0
18290,브이티,37600,-400,-1.05,1346005.0
34230,파라다이스,14520,520,3.71,1332524.0
281740,레이크머티리얼즈,19940,-1360,-6.38,1310667.0
214370,케어젠,23200,-350,-1.49,1246188.0
39200,오스코텍,33050,-300,-0.9,1255701.0
140860,파크시스템스,178700,4800,2.76,1246586.0
67160,SOOP,108500,-1300,-1.18,1247182.0
253450,스튜디오드래곤,41150,-200,-0.48,1236907.0
140410,메지온,39850,-1050,-2.57,1185722.0
84370,유진테크,50800,-1700,-3.24,1164135.0
166090,하나머티리얼즈,58800,6700,12.86,1162927.0
222800,심텍,35850,-150,-0.42,1141971.0
67310,하나마이크론,21900,-500,-2.23,1142512.0
33100,제룡전기,70000,1200,1.74,1124369.0
204270,제이앤티씨,18950,-240,-1.25,1096228.0
393890,더블유씨피,32450,100,0.31,1093452.0
96530,씨젠,20600,-100,-0.48,1075855.0
298380,에이비엘바이오,21900,50,0.23,1048847.0
352480,씨앤씨인터내셔널,102400,1200,1.19,1025428.0
383310,에코프로에이치엔,67500,-2600,-3.71,1033083.0
213420,덕산네오룩스,41250,500,1.23,1024286.0
195940,HK이노엔,35750,100,0.28,1012794.0
74600,원익QnC,38400,0,0.0,1009459.0
225570,넥슨게임즈,15280,80,0.53,1005482.0
56190,에스에프에이,27550,-850,-2.99,989286.0
287410,제이시스메디칼,12800,0,0.0,980964.0
86900,메디톡스,131500,-1400,-1.05,959752.0
365340,성일하이텍,80500,-2200,-2.66,976875.0
319660,피에스케이,33250,-50,-0.15,963143.0
67630,HLB생명과학,8760,-110,-1.24,943030.0
399720,가온칩스,81000,-3800,-4.48,930554.0
9520,포스코엠텍,21850,-550,-2.46,909893.0
183300,코미코,86200,1400,1.65,901711.0
85660,차바이오텍,16200,0,0.0,912294.0
25900,동화기업,17400,-770,-4.24,879605.0
25320,시노펙스,10330,-410,-3.82,865839.0
98460,고영,12520,-240,-1.88,859558.0
36540,SFA반도체,5290,-70,-1.31,869995.0
222080,씨아이에스,11700,-530,-4.33,835858.0
101490,에스앤에스텍,38700,-1550,-3.85,830171.0
36810,에프에스티,37400,50,0.13,813704.0
119860,커넥트웨이브,17910,-10,-0.06,811348.0
86450,동국제약,18360,230,1.27,816286.0
87010,펩트론,37050,-3150,-7.84,765355.0
418550,제이오,24050,-900,-3.61,764123.0
278280,천보,78400,800,1.03,784000.0
48410,현대바이오,18700,20,0.11,744645.0
310210,보로노이,42450,-3350,-7.31,754771.0
122870,와이지엔터테인먼트,40700,-250,-0.61,760726.0
80220,제주반도체,21800,-550,-2.46,750854.0
64550,바이오니아,28450,50,0.18,734303.0
41190,우리기술투자,8580,-100,-1.15,720720.0
15750,성우하이텍,8820,120,1.38,705600.0
420770,기가비스,55600,-4100,-6.87,704772.0
348210,넥스틴,68600,-800,-1.15,710515.0
336570,원텍,8050,-140,-1.71,719192.0
3380,하림지주,6160,60,0.98,689955.0
272290,이녹스첨단소재,34550,100,0.29,697967.0
131970,두산테스나,40400,-1550,-3.69,687065.0
7390,네이처셀,10800,-100,-0.92,692897.0
215200,메가스터디교육,57900,-100,-0.17,673138.0
372170,윤성에프앤씨,80800,-4500,-5.28,644707.0
58970,엠로,58200,-500,-0.85,652545.0
53800,안랩,61300,-300,-0.49,613849.0
194480,데브시스터즈,52600,1400,2.73,631904.0
189300,인텔리안테크,58200,-100,-0.17,624680.0
131290,티에스이,56600,-100,-0.18,626077.0
376300,디어유,25400,-100,-0.39,602956.0
30520,한글과컴퓨터,24400,-850,-3.37,589986.0
58610,에스피지,26150,0,0.0,579938.0
32500,케이엠더블유,14840,20,0.13,590942.0
46890,서울반도체,9540,0,0.0,556234.0
84850,아이티엠반도체,24400,200,0.83,553464.0
114190,강원에너지,21650,0,0.0,565564.0
99190,아이센스,20150,-200,-0.98,556891.0
91120,이엠텍,32900,-1550,-4.5,563674.0
144510,지씨셀,32100,-200,-0.62,507191.0
25980,아난티,5780,-20,-0.34,512278.0
78340,컴투스,38300,0,0.0,487856.0
290650,엘앤씨바이오,22100,1000,4.74,501336.0
179900,유티아이,30600,-3900,-11.3,498379.0
95500,미래나노텍,15800,-460,-2.83,489958.0
6730,서부T&D,7100,30,0.42,471631.0
94360,칩스앤미디어,22250,-1150,-4.91,463315.0
95610,테스,23450,-400,-1.68,463565.0
394280,오픈엣지테크놀로지,21400,-2350,-9.89,467435.0
215000,골프존,74800,-300,-0.4,469401.0
299030,하나기술,59200,-1900,-3.11,483108.0
200130,콜마비앤에이치,15860,790,5.24,466531.0
60280,큐렉소,10870,-80,-0.73,446648.0
