종목코드,종목명,종가,대비,등락률,상장시가총액
247540,에코프로비엠,183000,5000,2.81,17897646.0
196170,알테오젠,280500,-4000,-1.41,14908162.0
86520,에코프로,90100,500,0.56,11995764.0
28300,HLB,58500,-5400,-8.45,7654454.0
348370,엔켐,225000,-8500,-3.64,4574373.0
68760,셀트리온제약,88800,700,0.79,3693783.0
58470,리노공업,235000,2500,1.08,3581957.0
250,삼천당제약,146100,4100,2.89,3427137.0
403870,HPSP,39150,0,0.0,3246872.0
214150,클래시스,50800,-600,-1.17,3251176.0
277810,레인보우로보틱스,159500,-900,-0.56,3094277.0
145020,휴젤,231000,-500,-0.22,2911532.0
257720,실리콘투,47000,-950,-1.98,2861042.0
263750,펄어비스,44150,-1150,-2.54,2836543.0
141080,리가켐바이오,71200,-600,-0.84,2603595.0
89030,테크윙,63800,4700,7.95,2383163.0
39030,이오테크닉스,186900,900,0.48,2302524.0
357780,솔브레인,290500,-1000,-0.34,2259673.0
78600,대주전자재료,143000,-7400,-4.92,2213725.0
5290,동진쎄미켐,40050,-50,-0.12,2059150.0
35900,JYP Ent.,57300,1500,2.69,2036012.0
41510,에스엠,80400,4100,5.37,1896598.0
35760,CJ ENM,84200,1500,1.81,1846435.0
36930,주성엔지니어링,37350,2650,7.64,1802108.0
204270,제이앤티씨,30550,350,1.16,1767271.0
240810,원익IPS,34800,-400,-1.14,1708120.0
178320,서진시스템,30700,2600,9.25,1710064.0
293490,카카오게임즈,20500,300,1.49,1694235.0
237690,에스티팜,85500,-1400,-1.61,1664131.0
417200,LS머트리얼즈,23650,400,1.72,1599985.0
214450,파마리서치,148800,-7400,-4.74,1549458.0
64760,티씨케이,134000,5400,4.2,1564450.0
137400,피엔티,67200,100,0.15,1528209.0
67160,SOOP,131300,10700,8.87,1509263.0
31980,피에스케이홀딩스,70000,-1300,-1.82,1509368.0
33100,제룡전기,91500,600,0.66,1469710.0
112040,위메이드,42650,800,1.91,1447903.0
121600,나노신소재,117500,-3500,-2.89,1433039.0
39200,오스코텍,37550,2100,5.92,1426673.0
36830,솔브레인홀딩스,67000,-1900,-2.76,1404592.0
95340,ISC,65500,1800,2.83,1388407.0
352480,씨앤씨인터내셔널,135400,7100,5.53,1355888.0
328130,루닛,46750,250,0.54,1347832.0
281740,레이크머티리얼즈,20050,1140,6.03,1317897.0
140860,파크시스템스,187000,-100,-0.05,1305365.0
166090,하나머티리얼즈,65400,1800,2.83,1293460.0
253450,스튜디오드래곤,41550,500,1.22,1248931.0
214370,케어젠,21850,-450,-2.02,1173673.0
18290,브이티,31900,-2350,-6.86,1141956.0
222800,심텍,36000,1000,2.86,1146749.0
84370,유진테크,49650,-2550,-4.89,1137781.0
140410,메지온,37100,450,1.23,1105288.0
86900,메디톡스,151500,-7200,-4.54,1105722.0
298380,에이비엘바이오,22500,350,1.58,1081075.0
67310,하나마이크론,20500,250,1.23,1069474.0
96530,씨젠,20000,-50,-0.25,1044520.0
319660,피에스케이,36450,2000,5.81,1055837.0
195940,HK이노엔,37500,0,0.0,1062371.0
25320,시노펙스,12250,760,6.61,1026770.0
87010,펩트론,49350,2850,6.13,1019440.0
393890,더블유씨피,30250,150,0.5,1019320.0
225570,넥슨게임즈,15380,900,6.22,1012062.0
213420,덕산네오룩스,40350,1050,2.67,1001938.0
287410,제이시스메디칼,12870,0,0.0,986329.0
74600,원익QnC,37800,300,0.8,993686.0
56190,에스에프에이,26950,300,1.13,967741.0
383310,에코프로에이치엔,61300,700,1.16,938192.0
365340,성일하이텍,76100,0,0.0,923481.0
36540,SFA반도체,5450,50,0.93,896309.0
67630,HLB생명과학,8220,-380,-4.42,884975.0
9520,포스코엠텍,20550,-100,-0.48,855758.0
310210,보로노이,48850,-550,-1.11,868564.0
98460,고영,12640,360,2.93,867796.0
85660,차바이오텍,15500,80,0.52,872874.0
183300,코미코,80300,-2200,-2.67,839993.0
36810,에프에스티,38450,0,0.0,836549.0
86450,동국제약,18640,-490,-2.56,828734.0
272290,이녹스첨단소재,40950,750,1.87,827258.0
119860,커넥트웨이브,18000,0,0.0,815425.0
399720,가온칩스,67500,0,0.0,775462.0
222080,씨아이에스,10850,80,0.74,778263.0
25900,동화기업,15110,30,0.2,763841.0
64550,바이오니아,29400,-1200,-3.92,758823.0
418550,제이오,23550,-750,-3.09,748237.0
122870,와이지엔터테인먼트,40300,950,2.41,753249.0
101490,에스앤에스텍,35700,650,1.85,765817.0
48410,현대바이오,18370,120,0.66,731505.0
15750,성우하이텍,9000,-100,-1.1,720000.0
348210,넥스틴,69500,3200,4.83,719837.0
336570,원텍,8000,-190,-2.32,714725.0
278280,천보,71800,-500,-0.69,718000.0
194480,데브시스터즈,58700,1400,2.44,705185.0
3380,하림지주,5930,10,0.17,664193.0
420770,기가비스,52800,3500,7.1,669280.0
131290,티에스이,60100,2800,4.89,664792.0
41190,우리기술투자,7840,120,1.55,658560.0
215200,메가스터디교육,56300,200,0.36,654537.0
80220,제주반도체,18760,110,0.59,646148.0
58970,엠로,58200,900,1.57,652545.0
189300,인텔리안테크,58900,-2700,-4.38,632193.0
131970,두산테스나,37450,150,0.4,636896.0
7390,네이처셀,9370,50,0.54,601153.0
376300,디어유,25650,-250,-0.97,608890.0
101360,에코앤드림,52900,-2200,-3.99,605984.0
53800,안랩,60400,-100,-0.17,604837.0
290650,엘앤씨바이오,24600,950,4.02,558048.0
30520,한글과컴퓨터,22650,200,0.89,547671.0
372170,윤성에프앤씨,69500,800,1.16,554544.0
58610,에스피지,24900,350,1.43,552216.0
32500,케이엠더블유,13210,210,1.62,526034.0
46890,서울반도체,9140,10,0.11,532911.0
200130,콜마비앤에이치,17910,-310,-1.7,526833.0
95610,테스,26600,-700,-2.56,525835.0
99190,아이센스,18970,200,1.07,524279.0
84850,아이티엠반도체,23350,-100,-0.43,529647.0
179900,유티아이,30400,350,1.16,495122.0
91120,이엠텍,29650,250,0.85,507992.0
25980,아난티,5580,80,1.45,494552.0
215000,골프존,77200,-500,-0.64,484462.0
78340,컴투스,38250,50,0.13,487219.0
6730,서부T&D,6970,-40,-0.57,462996.0
91700,파트론,7750,-10,-0.13,456616.0
394280,오픈엣지테크놀로지,20800,400,1.96,454329.0
358570,지아이이노베이션,10380,200,1.96,458763.0
95500,미래나노텍,14750,-200,-1.34,457397.0
32190,다우데이타,11390,-10,-0.09,436237.0
144510,지씨셀,28200,-250,-0.88,445570.0
95660,네오위즈,20450,-100,-0.49,450590.0
49070,인탑스,24500,0,0.0,421400.0
68240,다원시스,11180,160,1.45,426667.0
114190,강원에너지,15860,220,1.41,414311.0
94360,칩스앤미디어,19720,-60,-0.3,410632.0
82270,젬백스,10420,40,0.39,416739.0
43150,바텍,26950,500,1.89,400322.0
360070,탑머티리얼,48350,0,0.0,390453.0
108860,셀바스AI,14800,0,0.0,398339.0
60280,큐렉소,9800,-230,-2.29,402682.0
