종목코드,종목명,종가,대비,등락률,상장시가총액
247540,에코프로비엠,191600,-7300,-3.67,18738738.0
196170,알테오젠,273500,6000,2.24,14536122.0
86520,에코프로,94100,-3000,-3.09,12528318.0
28300,HLB,62800,-400,-0.63,8217089.0
348370,엔켐,269500,-6500,-2.36,5216951.0
58470,리노공업,262000,-4500,-1.69,3993501.0
68760,셀트리온제약,91900,-900,-0.97,3822732.0
250,삼천당제약,141500,19700,16.17,3319232.0
214150,클래시스,51800,1200,2.37,3315175.0
277810,레인보우로보틱스,168000,300,0.18,3259176.0
403870,HPSP,38450,-500,-1.28,3188818.0
257720,실리콘투,51300,2250,4.59,3097968.0
263750,펄어비스,43450,-450,-1.03,2791569.0
145020,휴젤,229000,-4500,-1.93,2751181.0
141080,리가켐바이오,65900,3300,5.27,2409788.0
357780,솔브레인,308500,5500,1.82,2399688.0
39030,이오테크닉스,188300,-7300,-3.73,2319771.0
78600,대주전자재료,147900,4300,2.99,2289580.0
5290,동진쎄미켐,42200,1450,3.56,2169692.0
35900,JYP Ent.,56900,-300,-0.52,2021799.0
137400,피엔티,84800,600,0.71,1928454.0
41510,에스엠,81300,1300,1.63,1917828.0
89030,테크윙,49700,4000,8.75,1856476.0
35760,CJ ENM,83400,-3500,-4.03,1828891.0
240810,원익IPS,36950,2000,5.72,1813650.0
237690,에스티팜,92300,-100,-0.11,1783053.0
31980,피에스케이홀딩스,81200,2700,3.44,1750866.0
36930,주성엔지니어링,35700,950,2.73,1722497.0
293490,카카오게임즈,20350,-150,-0.73,1681838.0
417200,LS머트리얼즈,24650,-1000,-3.9,1667638.0
64760,티씨케이,142000,2600,1.87,1657850.0
178320,서진시스템,28500,-500,-1.72,1587519.0
121600,나노신소재,126000,600,0.48,1536706.0
36830,솔브레인홀딩스,72500,-1200,-1.63,1519894.0
204270,제이앤티씨,25400,3300,14.93,1469351.0
112040,위메이드,42700,2600,6.48,1449600.0
95340,ISC,68200,-400,-0.58,1445639.0
214450,파마리서치,137900,-1400,-1.01,1435956.0
328130,루닛,49050,-550,-1.11,1414142.0
18290,브이티,38400,900,2.4,1374643.0
34230,파라다이스,14240,-50,-0.35,1306828.0
281740,레이크머티리얼즈,19470,-100,-0.51,1279774.0
39200,오스코텍,33200,300,0.91,1261400.0
84370,유진테크,54100,4300,8.63,1239758.0
140860,파크시스템스,178600,600,0.34,1245888.0
253450,스튜디오드래곤,41700,400,0.97,1253439.0
67310,하나마이크론,23350,1250,5.66,1218157.0
214370,케어젠,22850,-700,-2.97,1227388.0
166090,하나머티리얼즈,60900,1700,2.87,1204460.0
67160,SOOP,104800,-1100,-1.04,1204652.0
140410,메지온,39400,-1000,-2.48,1172332.0
352480,씨앤씨인터내셔널,118400,14200,13.63,1185651.0
33100,제룡전기,72400,-1000,-1.36,1162918.0
222800,심텍,36150,50,0.14,1151527.0
96530,씨젠,21250,-300,-1.39,1109802.0
298380,에이비엘바이오,21750,250,1.16,1045039.0
319660,피에스케이,36100,2750,8.25,1045698.0
393890,더블유씨피,31300,0,0.0,1054701.0
195940,HK이노엔,36350,-1650,-4.34,1029792.0
225570,넥슨게임즈,15520,-230,-1.46,1021275.0
56190,에스에프에이,27900,250,0.9,1001854.0
74600,원익QnC,38300,550,1.46,1006830.0
213420,덕산네오룩스,40550,-500,-1.22,1006904.0
383310,에코프로에이치엔,65400,-1100,-1.65,1000943.0
287410,제이시스메디칼,12830,20,0.16,983264.0
365340,성일하이텍,79400,100,0.13,963527.0
67630,HLB생명과학,8930,70,0.79,961386.0
86900,메디톡스,128700,-3300,-2.5,939317.0
183300,코미코,89000,700,0.79,931001.0
85660,차바이오텍,16330,130,0.8,919615.0
25320,시노펙스,10420,30,0.29,873383.0
399720,가온칩스,77200,-1300,-1.66,886898.0
36540,SFA반도체,5390,50,0.94,886441.0
9520,포스코엠텍,20850,-400,-1.88,868250.0
222080,씨아이에스,11940,-80,-0.67,853004.0
25900,동화기업,17030,-50,-0.29,860901.0
98460,고영,12250,-10,-0.08,841021.0
