종목코드,종목명,종가,대비,등락률,상장시가총액
247540,에코프로비엠,178400,-900,-0.5,17447760.0
196170,알테오젠,286000,-3500,-1.21,15200479.0
86520,에코프로,89500,-1000,-1.1,11915881.0
28300,HLB,65000,-7800,-10.71,8504949.0
348370,엔켐,215500,-6500,-2.93,4381233.0
68760,셀트리온제약,89800,-1600,-1.75,3735379.0
58470,리노공업,232500,-6500,-2.72,3543851.0
403870,HPSP,40400,-1050,-2.53,3350539.0
250,삼천당제약,143500,-4600,-3.11,3366147.0
214150,클래시스,51200,-700,-1.35,3276775.0
277810,레인보우로보틱스,162400,1600,1.0,3150537.0
257720,실리콘투,49750,1200,2.47,3028443.0
145020,휴젤,230000,-7000,-2.95,2898928.0
263750,펄어비스,45150,600,1.35,2900791.0
141080,리가켐바이오,72500,-1300,-1.76,2651133.0
78600,대주전자재료,151600,6900,4.77,2346858.0
357780,솔브레인,291000,1000,0.34,2263563.0
39030,이오테크닉스,176700,4900,2.85,2176864.0
5290,동진쎄미켐,40350,1050,2.67,2074575.0
89030,테크윙,54500,2100,4.01,2035774.0
35900,JYP Ent.,55400,400,0.73,1968500.0
41510,에스엠,77300,500,0.65,1823470.0
35760,CJ ENM,83600,400,0.48,1833277.0
240810,원익IPS,35700,1250,3.63,1752295.0
204270,제이앤티씨,29550,-250,-0.84,1709422.0
237690,에스티팜,86100,-1000,-1.15,1675809.0
293490,카카오게임즈,20450,150,0.74,1690102.0
36930,주성엔지니어링,34100,200,0.59,1645298.0
417200,LS머트리얼즈,23500,-350,-1.47,1589837.0
214450,파마리서치,151800,2900,1.95,1580697.0
31980,피에스케이홀딩스,73500,1400,1.94,1584836.0
178320,서진시스템,27750,1050,3.93,1545742.0
137400,피엔티,68000,-2400,-3.41,1546401.0
64760,티씨케이,131100,2600,2.02,1530593.0
121600,나노신소재,119000,1100,0.93,1451333.0
112040,위메이드,42600,1450,3.52,1446205.0
36830,솔브레인홀딩스,68400,-1400,-2.01,1433941.0
328130,루닛,47900,2750,6.09,1380987.0
95340,ISC,65300,-400,-0.61,1384168.0
67160,SOOP,117200,6700,6.06,1347187.0
140860,파크시스템스,186000,0,0.0,1298384.0
39200,오스코텍,34500,-650,-1.85,1310792.0
33100,제룡전기,80200,800,1.01,1288205.0
214370,케어젠,23300,650,2.87,1251560.0
166090,하나머티리얼즈,63900,5100,8.67,1263793.0
253450,스튜디오드래곤,41300,0,0.0,1241416.0
84370,유진테크,52700,1400,2.73,1207675.0
