종목코드,종목명,종가,대비,등락률,상장시가총액
247540,에코프로비엠,188100,-6000,-3.09,18396433.0
196170,알테오젠,259500,4500,1.76,13792043.0
86520,에코프로,94100,-2000,-2.08,12528318.0
28300,HLB,63500,100,0.16,8308681.0
348370,엔켐,271000,0,0.0,5509578.0
58470,리노공업,256500,-4000,-1.54,3909668.0
68760,셀트리온제약,93000,-1600,-1.69,3868489.0
250,삼천당제약,163400,-400,-0.24,3832951.0
214150,클래시스,53200,-2100,-3.8,3404774.0
403870,HPSP,39650,-1500,-3.65,3288339.0
277810,레인보우로보틱스,166300,600,0.36,3226196.0
257720,실리콘투,50000,-700,-1.38,3019462.0
145020,휴젤,233500,1500,0.65,2943042.0
141080,리가켐바이오,75500,7700,11.36,2760835.0
263750,펄어비스,42950,1300,3.12,2759445.0
357780,솔브레인,313000,-2500,-0.79,2434691.0
39030,이오테크닉스,179700,-3200,-1.75,2213823.0
78600,대주전자재료,142100,-900,-0.63,2199792.0
5290,동진쎄미켐,41800,-1050,-2.45,2149126.0
35900,JYP Ent.,56200,0,0.0,1996926.0
89030,테크윙,51900,300,0.58,1938654.0
41510,에스엠,79900,-900,-1.11,1884803.0
35760,CJ ENM,84800,-1600,-1.85,1859592.0
137400,피엔티,80300,-4200,-4.97,1826118.0
237690,에스티팜,92900,600,0.65,1808161.0
293490,카카오게임즈,21400,-300,-1.38,1768616.0
240810,원익IPS,35350,-1150,-3.15,1735116.0
36930,주성엔지니어링,35050,-1550,-4.23,1691135.0
417200,LS머트리얼즈,24900,-200,-0.8,1684551.0
36830,솔브레인홀딩스,78400,-200,-0.25,1643582.0
31980,피에스케이홀딩스,74300,-2200,-2.88,1602086.0
204270,제이앤티씨,28000,-700,-2.44,1619757.0
178320,서진시스템,28700,350,1.23,1598660.0
64760,티씨케이,130300,-7800,-5.65,1521253.0
121600,나노신소재,122400,-1500,-1.21,1492800.0
214450,파마리서치,143800,5000,3.6,1497393.0
112040,위메이드,41600,450,1.09,1412257.0
95340,ISC,66800,-1300,-1.91,1415963.0
328130,루닛,47650,-250,-0.52,1373780.0
67160,SOOP,117000,11200,10.59,1344888.0
39200,오스코텍,35050,1650,4.94,1331688.0
140860,파크시스템스,186300,-5400,-2.82,1300478.0
214370,케어젠,24500,1550,6.75,1316018.0
34230,파라다이스,14020,120,0.86,1286638.0
281740,레이크머티리얼즈,18910,-700,-3.57,1242965.0
253450,스튜디오드래곤,41600,-100,-0.24,1250434.0
84370,유진테크,54000,-700,-1.28,1237466.0
18290,브이티,34200,-2250,-6.17,1224292.0
166090,하나머티리얼즈,60600,0,0.0,1198527.0
352480,씨앤씨인터내셔널,117000,500,0.43,1171631.0
67310,하나마이크론,22600,-250,-1.09,1179030.0
33100,제룡전기,72100,500,0.7,1158100.0
140410,메지온,38800,-450,-1.15,1154480.0
222800,심텍,36000,-900,-2.44,1146749.0
298380,에이비엘바이오,22800,800,3.64,1095490.0
96530,씨젠,20900,-400,-1.88,1091523.0
393890,더블유씨피,31250,50,0.16,1053016.0
319660,피에스케이,35700,300,0.85,1034112.0
56190,에스에프에이,28400,200,0.71,1019809.0
74600,원익QnC,38550,0,0.0,1013402.0
195940,HK이노엔,35500,0,0.0,1005711.0
383310,에코프로에이치엔,65300,-900,-1.36,999412.0
287410,제이시스메디칼,12860,0,0.0,985563.0
213420,덕산네오룩스,40050,0,0.0,994489.0
36540,SFA반도체,5910,130,2.25,971960.0
365340,성일하이텍,79100,0,0.0,959886.0
67630,HLB생명과학,8900,-150,-1.66,958157.0
225570,넥슨게임즈,14260,-300,-2.06,938362.0
86900,메디톡스,128700,700,0.55,939317.0
183300,코미코,89100,-300,-0.34,932047.0
85660,차바이오텍,16350,-200,-1.21,920741.0
9520,포스코엠텍,21450,500,2.39,893236.0
399720,가온칩스,77300,-2600,-3.25,888047.0
98460,고영,12820,10,0.08,880154.0
25320,시노펙스,10110,-100,-0.98,847399.0
310210,보로노이,46550,250,0.54,827669.0
222080,씨아이에스,11810,-320,-2.64,843717.0
25900,동화기업,16450,-510,-3.01,831581.0
119860,커넥트웨이브,18000,0,0.0,815425.0
101490,에스앤에스텍,38000,-500,-1.3,815155.0
87010,펩트론,38200,850,2.28,789111.0
86450,동국제약,17770,100,0.57,790054.0
348210,넥스틴,74600,3000,4.19,772659.0
36810,에프에스티,35000,-1050,-2.91,761488.0
272290,이녹스첨단소재,37250,1500,4.2,752512.0
122870,와이지엔터테인먼트,40200,200,0.5,751380.0
15750,성우하이텍,9100,-120,-1.3,728000.0
80220,제주반도체,21300,-700,-3.18,733632.0
418550,제이오,22800,-450,-1.94,724408.0
336570,원텍,8290,-20,-0.24,740634.0
278280,천보,74000,-200,-0.27,740000.0
48410,현대바이오,17840,140,0.79,710400.0
194480,데브시스터즈,59700,3200,5.66,717199.0
64550,바이오니아,27300,-350,-1.27,704621.0
3380,하림지주,6170,0,0.0,691075.0
58970,엠로,61600,900,1.48,690667.0
41190,우리기술투자,8220,80,0.98,690480.0
131970,두산테스나,39250,100,0.26,667508.0
420770,기가비스,51800,-700,-1.33,656604.0
215200,메가스터디교육,56400,-700,-1.23,655699.0
7390,네이처셀,10010,120,1.21,642213.0
53800,안랩,60700,300,0.5,607841.0
84850,아이티엠반도체,26150,-250,-0.95,593159.0
372170,윤성에프앤씨,76100,-2700,-3.43,607206.0
131290,티에스이,53400,-2100,-3.78,590680.0
189300,인텔리안테크,55800,-800,-1.41,598920.0
91120,이엠텍,34750,-3000,-7.95,595370.0
376300,디어유,24000,-200,-0.83,569722.0
58610,에스피지,25700,0,0.0,569958.0
46890,서울반도체,9570,20,0.21,557983.0
30520,한글과컴퓨터,22700,-300,-1.3,548880.0
99190,아이센스,19420,90,0.47,536716.0
144510,지씨셀,32200,300,0.94,508771.0
32500,케이엠더블유,13140,-260,-1.94,523246.0
25980,아난티,5680,20,0.35,503415.0
394280,오픈엣지테크놀로지,22400,-600,-2.61,489278.0
290650,엘앤씨바이오,21600,250,1.17,489994.0
179900,유티아이,30150,-750,-2.43,491050.0
6730,서부T&D,7040,30,0.43,467646.0
78340,컴투스,36800,450,1.24,468749.0
94360,칩스앤미디어,22400,-400,-1.75,466438.0
358570,지아이이노베이션,10720,390,3.78,473790.0
95610,테스,23650,-200,-0.84,467519.0
114190,강원에너지,18260,-550,-2.92,477007.0
215000,골프존,74200,700,0.95,465636.0
95500,미래나노텍,15500,-220,-1.4,480655.0
32190,다우데이타,11750,220,1.91,450025.0
49070,인탑스,26650,1000,3.9,458380.0
68240,다원시스,11580,200,1.76,441933.0
299030,하나기술,56000,-1600,-2.78,456994.0
95660,네오위즈,20700,50,0.24,456098.0
108860,셀바스AI,16860,350,2.12,453783.0
200130,콜마비앤에이치,15620,-70,-0.45,459471.0
91700,파트론,7800,50,0.65,459562.0
60280,큐렉소,10210,20,0.2,419529.0
43150,바텍,27200,500,1.87,404036.0
360070,탑머티리얼,51500,-1000,-1.9,415664.0
218410,RFHIC,15060,200,1.35,398856.0
82270,젬백스,10470,-110,-1.04,418739.0
60250,NHN KCP,9550,-120,-1.24,383534.0
33640,네패스,15650,280,1.82,360877.0
323990,박셀바이오,15970,-30,-0.19,367201.0
215600,신라젠,3580,-65,-1.78,368264.0
53610,프로텍,31600,-300,-0.94,347600.0
425040,티이엠씨,16520,-280,-1.67,351854.0
267980,매일유업,44500,800,1.83,349042.0
118990,모트렉스,13600,60,0.44,338123.0
60720,KH바텍,13620,30,0.22,322487.0
25770,한국정보통신,8480,-40,-0.47,317527.0
35600,KG이니시스,11050,-80,-0.72,308344.0
