종목코드,종목명,종가,대비,등락률,상장시가총액
247540,에코프로비엠,203000,11800,6.17,19853673.0
86520,에코프로,100600,4200,4.36,13393717.0
196170,알테오젠,238000,4500,1.93,12649350.0
28300,HLB,59600,1800,3.11,7798384.0
348370,엔켐,294500,-6500,-2.16,5700899.0
58470,리노공업,265500,-2000,-0.75,4046849.0
68760,셀트리온제약,93400,500,0.54,3885127.0
403870,HPSP,39850,-500,-1.24,3304926.0
277810,레인보우로보틱스,161400,-800,-0.49,3131137.0
214150,클래시스,47000,-550,-1.16,3007977.0
250,삼천당제약,124500,-2000,-1.58,2920455.0
263750,펄어비스,41100,-300,-0.72,2640587.0
39030,이오테크닉스,202000,500,0.25,2488549.0
141080,리가켐바이오,67300,-500,-0.74,2460983.0
357780,솔브레인,313000,-500,-0.16,2434691.0
145020,휴젤,198700,-1300,-0.65,2387160.0
5290,동진쎄미켐,42500,400,0.95,2185116.0
35900,JYP Ent.,58400,-200,-0.34,2075098.0
41510,에스엠,85500,3600,4.4,2016904.0
78600,대주전자재료,122700,2300,1.91,1899469.0
35760,CJ ENM,86200,-900,-1.03,1890293.0
237690,에스티팜,94900,-1400,-1.45,1833280.0
240810,원익IPS,36700,600,1.66,1801379.0
293490,카카오게임즈,20800,-100,-0.48,1719028.0
137400,피엔티,74800,5400,7.78,1701042.0
36830,솔브레인홀딩스,78100,-900,-1.14,1637293.0
178320,서진시스템,29050,-1050,-3.49,1618155.0
36930,주성엔지니어링,33450,1600,5.02,1613936.0
328130,루닛,53900,-600,-1.1,1553971.0
95340,ISC,72100,0,0.0,1528308.0
112040,위메이드,43250,-100,-0.23,1468272.0
64760,티씨케이,126300,-600,-0.47,1474553.0
121600,나노신소재,118300,2200,1.89,1442796.0
39200,오스코텍,37400,800,2.19,1420974.0
31980,피에스케이홀딩스,64600,8500,15.15,1392931.0
281740,레이크머티리얼즈,20750,1070,5.44,1363909.0
214450,파마리서치,127700,-2600,-2.0,1329743.0
214370,케어젠,24000,100,0.42,1289160.0
34230,파라다이스,13950,10,0.07,1280214.0
253450,스튜디오드래곤,42450,-650,-1.51,1275983.0
140860,파크시스템스,179100,-8500,-4.53,1249376.0
67160,SOOP,108300,-4700,-4.16,1244883.0
140410,메지온,39850,200,0.5,1185722.0
298380,에이비엘바이오,24600,-450,-1.8,1178156.0
393890,더블유씨피,34350,850,2.54,1157475.0
