종목코드,종목명,종가,대비,등락률,상장시가총액
247540,에코프로비엠,209000,-500,-0.24,20440481.0
196170,알테오젠,268500,-7500,-2.72,14270380.0
86520,에코프로,101000,-300,-0.3,13446972.0
28300,HLB,63600,3000,4.95,8321765.0
348370,엔켐,276000,-3000,-1.08,5342778.0
58470,리노공업,264000,-1000,-0.38,4023986.0
68760,셀트리온제약,93000,-2200,-2.31,3868489.0
214150,클래시스,54300,500,0.93,3475174.0
403870,HPSP,39200,-1050,-2.61,3251018.0
277810,레인보우로보틱스,165000,-1600,-0.96,3200977.0
250,삼천당제약,128400,-400,-0.31,3011939.0
145020,휴젤,230500,-8000,-3.35,2769202.0
263750,펄어비스,42300,2050,5.09,2717684.0
357780,솔브레인,308000,-7000,-2.22,2395798.0
141080,리가켐바이오,65100,-2200,-3.27,2380534.0
39030,이오테크닉스,188500,-4500,-2.33,2322235.0
78600,대주전자재료,149300,-10700,-6.69,2311253.0
5290,동진쎄미켐,42050,-450,-1.06,2161979.0
35900,JYP Ent.,57700,-200,-0.35,2050225.0
41510,에스엠,82000,600,0.74,1934341.0
137400,피엔티,83500,2600,3.21,1898890.0
35760,CJ ENM,84100,-1400,-1.64,1844242.0
237690,에스티팜,94200,-100,-0.11,1819757.0
240810,원익IPS,35850,700,1.99,1759658.0
36930,주성엔지니어링,36100,50,0.14,1741797.0
293490,카카오게임즈,20150,-150,-0.74,1665309.0
31980,피에스케이홀딩스,77200,200,0.26,1664617.0
36830,솔브레인홀딩스,79600,2600,3.38,1668739.0
178320,서진시스템,29500,150,0.51,1643221.0
121600,나노신소재,135800,-2800,-2.02,1656227.0
64760,티씨케이,129000,-4200,-3.15,1506075.0
95340,ISC,70800,-700,-0.98,1500752.0
328130,루닛,50800,-700,-1.36,1464596.0
214450,파마리서치,137700,2900,2.15,1433873.0
281740,레이크머티리얼즈,21300,-650,-2.96,1400061.0
112040,위메이드,40750,450,1.12,1383401.0
34230,파라다이스,14000,10,0.07,1284803.0
39200,오스코텍,33350,-50,-0.15,1267099.0
67160,SOOP,109800,-1800,-1.61,1262125.0
214370,케어젠,23550,-350,-1.46,1264988.0
253450,스튜디오드래곤,41350,-600,-1.43,1242919.0
140860,파크시스템스,173900,500,0.29,1213102.0
140410,메지온,40900,-1100,-2.62,1216964.0
84370,유진테크,52500,900,1.74,1203092.0
67310,하나마이크론,22400,0,0.0,1168596.0
222800,심텍,36000,2100,6.19,1146749.0
204270,제이앤티씨,19190,-140,-0.72,1110112.0
393890,더블유씨피,32350,-850,-2.56,1090082.0
96530,씨젠,20700,50,0.24,1081078.0
383310,에코프로에이치엔,70100,200,0.29,1072876.0
298380,에이비엘바이오,21850,-650,-2.89,1046452.0
166090,하나머티리얼즈,52100,-800,-1.51,1030417.0
56190,에스에프에이,28400,-600,-2.07,1019809.0
74600,원익QnC,38400,500,1.32,1009459.0
195940,HK이노엔,35650,-50,-0.14,1009961.0
213420,덕산네오룩스,40750,-1150,-2.74,1011871.0
352480,씨앤씨인터내셔널,101200,-1400,-1.36,1013411.0
365340,성일하이텍,82700,-1700,-2.01,1003573.0
287410,제이시스메디칼,12800,10,0.08,980964.0
225570,넥슨게임즈,15200,-60,-0.39,1000217.0
319660,피에스케이,33300,-100,-0.3,964592.0
86900,메디톡스,132900,2100,1.61,969970.0
67630,HLB생명과학,8870,-50,-0.56,954871.0
25900,동화기업,18170,60,0.33,918531.0
9520,포스코엠텍,22400,650,2.99,932797.0
85660,차바이오텍,16200,-260,-1.58,912294.0
183300,코미코,84800,-2900,-3.31,887066.0
36540,SFA반도체,5360,-10,-0.19,881507.0
98460,고영,12760,-260,-2.0,876035.0
222080,씨아이에스,12230,160,1.33,873722.0
101490,에스앤에스텍,40250,-1550,-3.71,863421.0
36810,에프에스티,37350,-3250,-8.0,812616.0
310210,보로노이,45800,-3050,-6.24,814334.0
119860,커넥트웨이브,17920,10,0.06,811801.0
86450,동국제약,18130,-350,-1.89,806060.0
418550,제이오,24950,-300,-1.19,792718.0
278280,천보,77600,-400,-0.51,776000.0
122870,와이지엔터테인먼트,40950,-450,-1.09,765398.0
64550,바이오니아,28400,-500,-1.73,733012.0
48410,현대바이오,18680,-500,-2.61,743849.0
41190,우리기술투자,8680,-170,-1.92,729120.0
348210,넥스틴,69400,2600,3.89,718801.0
336570,원텍,8190,210,2.63,731700.0
131970,두산테스나,41950,400,0.96,713425.0
7390,네이처셀,10900,360,3.42,699313.0
272290,이녹스첨단소재,34450,-150,-0.43,695947.0
15750,성우하이텍,8700,10,0.12,696000.0
3380,하림지주,6100,-80,-1.29,683234.0
372170,윤성에프앤씨,85300,-900,-1.04,680613.0
215200,메가스터디교육,58000,-600,-1.02,674301.0
58970,엠로,58700,-3000,-4.86,658151.0
30520,한글과컴퓨터,25250,-100,-0.39,610539.0
53800,안랩,61600,-600,-0.96,616853.0
194480,데브시스터즈,51200,-1500,-2.85,615085.0
189300,인텔리안테크,58300,0,0.0,625753.0
131290,티에스이,56700,1100,1.98,627183.0
