종목코드,종목명,종가,대비,등락률,상장시가총액
247540,에코프로비엠,182100,-4500,-2.41,17809625.0
196170,알테오젠,286000,5000,1.78,15200479.0
86520,에코프로,91300,-1500,-1.62,12155530.0
28300,HLB,66000,1700,2.64,8635794.0
348370,엔켐,236000,-30000,-11.28,4798009.0
68760,셀트리온제약,91000,-100,-0.11,3785295.0
58470,리노공업,245500,-1500,-0.61,3742002.0
250,삼천당제약,144700,-13800,-8.71,3394296.0
214150,클래시스,52900,-1700,-3.11,3385575.0
403870,HPSP,40150,-150,-0.37,3329806.0
277810,레인보우로보틱스,162800,-2400,-1.45,3158297.0
257720,실리콘투,50900,-1900,-3.6,3073812.0
145020,휴젤,241000,-7000,-2.82,3037572.0
263750,펄어비스,44300,-400,-0.89,2846180.0
141080,리가켐바이오,71900,-600,-0.83,2629192.0
357780,솔브레인,296000,-5000,-1.66,2302456.0
78600,대주전자재료,142500,4600,3.34,2205985.0
39030,이오테크닉스,176300,700,0.4,2171937.0
5290,동진쎄미켐,39900,-350,-0.87,2051438.0
89030,테크윙,53600,2400,4.69,2002155.0
35900,JYP Ent.,55100,-1000,-1.78,1957840.0
41510,에스엠,77700,-1800,-2.26,1832906.0
35760,CJ ENM,83000,-200,-0.24,1820120.0
237690,에스티팜,87400,-5400,-5.82,1701111.0
204270,제이앤티씨,28600,350,1.24,1654466.0
293490,카카오게임즈,20200,-350,-1.7,1669441.0
240810,원익IPS,34000,-400,-1.16,1668853.0
31980,피에스케이홀딩스,75100,-100,-0.13,1619336.0
417200,LS머트리얼즈,23850,-1050,-4.22,1613516.0
137400,피엔티,71000,-5700,-7.43,1614625.0
36930,주성엔지니어링,33800,-1000,-2.87,1630823.0
214450,파마리서치,153600,9800,6.82,1599440.0
64760,티씨케이,131900,-3000,-2.22,1539933.0
178320,서진시스템,27100,-1200,-4.24,1509536.0
36830,솔브레인홀딩스,71600,-1700,-2.32,1501026.0
121600,나노신소재,120600,800,0.67,1470847.0
112040,위메이드,40300,-950,-2.3,1368124.0
95340,ISC,64700,-300,-0.46,1371450.0
67160,SOOP,116700,700,0.6,1341439.0
39200,오스코텍,35450,800,2.31,1346886.0
33100,제룡전기,82800,-1700,-2.01,1329967.0
328130,루닛,45000,-1300,-2.81,1297378.0
214370,케어젠,24250,350,1.46,1302589.0
140860,파크시스템스,184000,1300,0.71,1284423.0
253450,스튜디오드래곤,41050,-350,-0.85,1233901.0
84370,유진테크,52900,300,0.57,1212259.0
281740,레이크머티리얼즈,18280,-170,-0.92,1201554.0
18290,브이티,33100,-1400,-4.06,1184914.0
140410,메지온,38050,-800,-2.06,1133590.0
352480,씨앤씨인터내셔널,114100,-2900,-2.48,1142591.0
166090,하나머티리얼즈,57900,-1500,-2.53,1145127.0
222800,심텍,34650,-550,-1.56,1103746.0
67310,하나마이크론,21150,-950,-4.3,1103384.0
96530,씨젠,20250,-550,-2.64,1057576.0
393890,더블유씨피,30500,-700,-2.24,1027744.0
298380,에이비엘바이오,21550,-350,-1.6,1035430.0
86900,메디톡스,139000,2100,1.53,1014491.0
56190,에스에프에이,27700,250,0.91,994673.0
319660,피에스케이,33800,-1400,-3.98,979075.0
287410,제이시스메디칼,12860,0,0.0,985563.0
195940,HK이노엔,35150,200,0.57,995796.0
67630,HLB생명과학,8900,0,0.0,958157.0
383310,에코프로에이치엔,62800,-1400,-2.18,961150.0
74600,원익QnC,37050,-100,-0.27,973970.0
213420,덕산네오룩스,38450,-750,-1.91,954759.0
365340,성일하이텍,76600,-1700,-2.17,929548.0
225570,넥슨게임즈,14030,-120,-0.85,923227.0
85660,차바이오텍,15900,-190,-1.18,895400.0
36540,SFA반도체,5480,-270,-4.7,901242.0
9520,포스코엠텍,21400,-700,-3.17,891154.0
310210,보로노이,48500,-1800,-3.58,862341.0
98460,고영,12490,-100,-0.79,857498.0
183300,코미코,81000,-2100,-2.53,847315.0
25320,시노펙스,9800,-220,-2.2,821416.0
399720,가온칩스,70800,-5900,-7.69,813373.0
119860,커넥트웨이브,18000,0,0.0,815425.0
87010,펩트론,40000,500,1.27,826294.0
25900,동화기업,15320,-1030,-6.3,774457.0
36810,에프에스티,36050,1650,4.8,784332.0
272290,이녹스첨단소재,38050,-450,-1.17,768673.0
101490,에스앤에스텍,36300,-200,-0.55,778688.0
86450,동국제약,17590,-180,-1.01,782051.0
222080,씨아이에스,10690,-360,-3.26,763703.0
64550,바이오니아,29450,2300,8.47,760113.0
336570,원텍,8350,30,0.36,745994.0
48410,현대바이오,18650,1020,5.79,742654.0
122870,와이지엔터테인먼트,38850,-1050,-2.63,726147.0
418550,제이오,22300,0,0.0,708522.0
278280,천보,71700,-1000,-1.38,717000.0
15750,성우하이텍,8740,-150,-1.69,699200.0
348210,넥스틴,67600,-2700,-3.84,700158.0
194480,데브시스터즈,57300,-900,-1.55,688367.0
3380,하림지주,6030,-140,-2.27,675394.0
101360,에코앤드림,59600,4300,7.78,682735.0
80220,제주반도체,19600,-1150,-5.54,675080.0
215200,메가스터디교육,57000,300,0.53,662675.0
41190,우리기술투자,7680,-440,-5.42,645120.0
58970,엠로,57100,-1900,-3.22,640212.0
420770,기가비스,49600,-1200,-2.36,628718.0
131970,두산테스나,37350,-450,-1.19,635195.0
7390,네이처셀,9610,-220,-2.24,616550.0
189300,인텔리안테크,57800,1800,3.21,620387.0
131290,티에스이,55800,900,1.64,617228.0
53800,안랩,61000,100,0.16,610845.0
372170,윤성에프앤씨,71800,-2200,-2.97,572896.0
30520,한글과컴퓨터,22400,-350,-1.54,541626.0
46890,서울반도체,9290,-210,-2.21,541657.0
376300,디어유,23000,-650,-2.75,545983.0
84850,아이티엠반도체,24300,-850,-3.38,551195.0
200130,콜마비앤에이치,18920,410,2.22,556542.0
58610,에스피지,24350,-750,-2.99,540019.0
32500,케이엠더블유,13050,-100,-0.76,519663.0
99190,아이센스,19210,170,0.89,530912.0
91120,이엠텍,30900,-1500,-4.63,529408.0
290650,엘앤씨바이오,22500,1050,4.9,510410.0
25980,아난티,5440,-130,-2.33,482144.0
215000,골프존,76500,500,0.66,480069.0
179900,유티아이,30200,200,0.67,491864.0
144510,지씨셀,30900,-600,-1.9,488231.0
78340,컴투스,37050,500,1.37,471934.0
91700,파트론,7730,-60,-0.77,455438.0
95500,미래나노텍,14600,-480,-3.18,452746.0
