종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
095570,AJ네트웍스,KOSPI,서비스업,4465,-55,-1.22,202053568935
006840,AK홀딩스,KOSPI,기타금융,14550,-100,-0.68,192752012550
027410,BGF,KOSPI,기타금융,3590,30,0.84,343623279690
282330,BGF리테일,KOSPI,유통업,109700,-200,-0.18,1896044488200
138930,BNK금융지주,KOSPI,기타금융,8200,30,0.37,2641125191600
001460,BYC,KOSPI,섬유의복,35600,-100,-0.28,222362940000
001465,BYC우,KOSPI,섬유의복,15800,-100,-0.63,34030830000
001040,CJ,KOSPI,기타금융,125500,2900,2.37,3661713249000
079160,CJ CGV,KOSPI,서비스업,5580,-10,-0.18,683172540900
00104K,CJ4우(전환),KOSPI,기타금융,86900,500,0.58,367283892800
000120,CJ대한통운,KOSPI,운수창고업,97600,-500,-0.51,2226484774400
011150,CJ씨푸드,KOSPI,음식료품,5500,50,0.92,197619251500
011155,CJ씨푸드1우,KOSPI,음식료품,21950,-150,-0.68,4390000000
001045,CJ우,KOSPI,기타금융,60400,400,0.67,136517469200
097950,CJ제일제당,KOSPI,음식료품,390500,-3500,-0.89,5878659633000
097955,CJ제일제당 우,KOSPI,음식료품,155300,-2500,-1.58,206150344900
000480,CR홀딩스,KOSPI,비금속광물,5920,10,0.17,277591700800
000590,CS홀딩스,KOSPI,기타금융,70100,300,0.43,80929188200
012030,DB,KOSPI,서비스업,1415,-89,-5.92,284661115195
016610,DB금융투자,KOSPI,증권,4290,-10,-0.23,182095008810
005830,DB손해보험,KOSPI,보험,111100,400,0.36,7865880000000
000990,DB하이텍,KOSPI,전기전자,52200,-4900,-8.58,2317606293600
139130,DGB금융지주,KOSPI,기타금융,7990,-30,-0.37,1351475205670
001530,DI동일,KOSPI,유통업,25550,250,0.99,644260419600
000210,DL,KOSPI,화학,56800,-500,-0.87,1190294211200
000215,DL우,KOSPI,화학,27350,0,0.0,46115245250
375500,DL이앤씨,KOSPI,건설업,34250,-800,-2.28,1325256587750
37550L,DL이앤씨2우(전환),KOSPI,건설업,23450,-350,-1.47,49525250950
37550K,DL이앤씨우,KOSPI,건설업,18260,-1020,-5.29,38599540100
