종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
095570,AJ네트웍스,KOSPI,서비스업,4740,25,0.53,214498077660
006840,AK홀딩스,KOSPI,기타금융,14780,0,0.0,195798951580
027410,BGF,KOSPI,기타금융,3595,20,0.56,344101863645
282330,BGF리테일,KOSPI,유통업,115900,700,0.61,2003204705400
138930,BNK금융지주,KOSPI,기타금융,8120,40,0.5,2615358116560
001460,BYC,KOSPI,섬유의복,36450,500,1.39,227672167500
001465,BYC우,KOSPI,섬유의복,15290,140,0.92,32932366500
001040,CJ,KOSPI,기타금융,130600,-1400,-1.06,3810515938800
079160,CJ CGV,KOSPI,서비스업,5670,10,0.18,694191452850
00104K,CJ4우(전환),KOSPI,기타금융,90300,200,0.22,381654033600
000120,CJ대한통운,KOSPI,운수창고업,97400,-3300,-3.28,2221922305600
011150,CJ씨푸드,KOSPI,음식료품,5090,240,4.95,182887634570
011155,CJ씨푸드1우,KOSPI,음식료품,21650,-300,-1.37,4330000000
001045,CJ우,KOSPI,기타금융,61500,-300,-0.49,139003714500
097950,CJ제일제당,KOSPI,음식료품,374500,12000,3.31,5637792657000
097955,CJ제일제당 우,KOSPI,음식료품,156800,2200,1.42,208141494400
000480,CR홀딩스,KOSPI,비금속광물,6090,-10,-0.16,285563084100
000590,CS홀딩스,KOSPI,기타금융,69700,100,0.14,80467395400
012030,DB,KOSPI,서비스업,1322,-10,-0.75,265951939426
016610,DB금융투자,KOSPI,증권,4100,-30,-0.73,174030194900
005830,DB손해보험,KOSPI,보험,103000,-2100,-2.0,7292400000000
000990,DB하이텍,KOSPI,전기전자,42950,250,0.59,1906919354600
139130,DGB금융지주,KOSPI,기타금융,7900,-30,-0.38,1336252080700
001530,DI동일,KOSPI,유통업,24950,-500,-1.96,629131016400
000210,DL,KOSPI,화학,59200,-300,-0.5,1240588332800
000215,DL우,KOSPI,화학,27850,-50,-0.18,46958302750
375500,DL이앤씨,KOSPI,건설업,34800,600,1.75,1346538080400
37550L,DL이앤씨2우(전환),KOSPI,건설업,23800,250,1.06,50264433800
37550K,DL이앤씨우,KOSPI,건설업,17660,-170,-0.95,37331209100
007340,DN오토모티브,KOSPI,전기전자,79600,-900,-1.12,795522798000
004840,DRB동일,KOSPI,화학,5500,10,0.18,109615000000
155660,DSR,KOSPI,철강금속,4275,-55,-1.27,68400000000
069730,DSR제강,KOSPI,철강금속,4650,55,1.2,66960000000
017860,DS단석,KOSPI,화학,100700,-1800,-1.76,590243382800
017940,E1,KOSPI,유통업,70000,200,0.29,480200000000
365550,ESR켄달스퀘어리츠,KOSPI,서비스업,4755,-105,-2.16,1013238195000
383220,F&F,KOSPI,섬유의복,69200,900,1.32,2650849590000
007700,F&F홀딩스,KOSPI,기타금융,15550,-20,-0.13,608228406850
114090,GKL,KOSPI,서비스업,13360,-120,-0.89,826391751200
078930,GS,KOSPI,기타금융,43300,50,0.12,4023235867400
006360,GS건설,KOSPI,건설업,14710,70,0.48,1258903717900
001250,GS글로벌,KOSPI,유통업,2440,10,0.41,201382384160
007070,GS리테일,KOSPI,유통업,22100,300,1.38,2314266076200
078935,GS우,KOSPI,기타금융,36900,-100,-0.27,65860079400
012630,HDC,KOSPI,기타금융,7940,70,0.89,474349264740
039570,HDC랩스,KOSPI,건설업,9070,90,1.0,235435441070
089470,HDC현대EP,KOSPI,화학,4225,0,0.0,134777500000
294870,HDC현대산업개발,KOSPI,건설업,17180,210,1.24,1132287929400
009540,HD한국조선해양,KOSPI,기타금융,133400,-300,-0.22,9441133674400
267250,HD현대,KOSPI,기타금융,69400,300,0.43,5482120099000
267270,HD현대건설기계,KOSPI,기계,56500,2000,3.67,1064860924000
443060,HD현대마린솔루션,KOSPI,서비스업,145200,8200,5.99,6454140000000
010620,HD현대미포,KOSPI,운수장비,74300,1900,2.62,2967701670700
322000,HD현대에너지솔루션,KOSPI,전기전자,29800,-400,-1.32,333760000000
042670,HD현대인프라코어,KOSPI,기계,7900,150,1.94,1576867278700
267260,HD현대일렉트릭,KOSPI,전기전자,263500,-9000,-3.3,9498420072500
329180,HD현대중공업,KOSPI,운수장비,130000,300,0.23,11540505080000
097230,HJ중공업,KOSPI,건설업,3125,25,0.81,260232128125
014790,HL D&I,KOSPI,건설업,2325,160,7.39,88021247325
003580,HLB글로벌,KOSPI,유통업,4675,85,1.85,221645920100
204320,HL만도,KOSPI,운수장비,47500,400,0.85,2230463200000
