종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
095570,AJ네트웍스,KOSPI,서비스업,4715,-75,-1.57,213366758685
006840,AK홀딩스,KOSPI,기타금융,14780,-140,-0.94,195798951580
027410,BGF,KOSPI,기타금융,3575,5,0.14,342187527825
282330,BGF리테일,KOSPI,유통업,115200,-1100,-0.95,1991105971200
138930,BNK금융지주,KOSPI,기타금융,8080,-90,-1.1,2602474579040
001460,BYC,KOSPI,섬유의복,35950,100,0.28,224549092500
001465,BYC우,KOSPI,섬유의복,15150,-20,-0.13,32630827500
001040,CJ,KOSPI,기타금융,132000,4500,3.53,3851363736000
079160,CJ CGV,KOSPI,서비스업,5660,-60,-1.05,692967129300
00104K,CJ4우(전환),KOSPI,기타금융,90100,1000,1.12,380808731200
000120,CJ대한통운,KOSPI,운수창고업,100700,-400,-0.4,2297203040800
011150,CJ씨푸드,KOSPI,음식료품,4850,40,0.83,174264249050
011155,CJ씨푸드1우,KOSPI,음식료품,21950,50,0.23,4390000000
001045,CJ우,KOSPI,기타금융,61800,-100,-0.16,139681781400
097950,CJ제일제당,KOSPI,음식료품,362500,-500,-0.14,5457142425000
097955,CJ제일제당 우,KOSPI,음식료품,154600,-1400,-0.9,205221141800
000480,CR홀딩스,KOSPI,비금속광물,6100,20,0.33,286031989000
000590,CS홀딩스,KOSPI,기타금융,69600,100,0.14,80351947200
012030,DB,KOSPI,서비스업,1332,-18,-1.33,267963678756
016610,DB금융투자,KOSPI,증권,4130,-10,-0.24,175303586570
005830,DB손해보험,KOSPI,보험,105100,-1700,-1.59,7441080000000
000990,DB하이텍,KOSPI,전기전자,42700,-50,-0.12,1895819707600
139130,DGB금융지주,KOSPI,기타금융,7930,-130,-1.61,1341326455690
001530,DI동일,KOSPI,유통업,25450,100,0.39,641738852400
000210,DL,KOSPI,화학,59500,1400,2.41,1246875098000
000215,DL우,KOSPI,화학,27900,800,2.95,47042608500
375500,DL이앤씨,KOSPI,건설업,34200,-400,-1.16,1323321906600
37550L,DL이앤씨2우(전환),KOSPI,건설업,23550,-50,-0.21,49736446050
37550K,DL이앤씨우,KOSPI,건설업,17830,-160,-0.89,37690569550
007340,DN오토모티브,KOSPI,전기전자,80500,0,0.0,804517402500
004840,DRB동일,KOSPI,화학,5490,-80,-1.44,109415700000
155660,DSR,KOSPI,철강금속,4330,0,0.0,69280000000
069730,DSR제강,KOSPI,철강금속,4595,-205,-4.27,66168000000
017860,DS단석,KOSPI,화학,102500,2300,2.3,600793910000
017940,E1,KOSPI,유통업,69800,-1100,-1.55,478828000000
365550,ESR켄달스퀘어리츠,KOSPI,서비스업,4860,-30,-0.61,1035612540000
383220,F&F,KOSPI,섬유의복,68300,900,1.34,2616373222500
007700,F&F홀딩스,KOSPI,기타금융,15570,-50,-0.32,609010694190
114090,GKL,KOSPI,서비스업,13480,-20,-0.15,833814431600
078930,GS,KOSPI,기타금융,43250,550,1.29,4018590098500
