종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
095570,AJ네트웍스,KOSPI,서비스업,4370,-40,-0.91,197754556830
006840,AK홀딩스,KOSPI,기타금융,14300,90,0.63,189440122300
027410,BGF,KOSPI,기타금융,3455,-35,-1.0,330701512905
282330,BGF리테일,KOSPI,유통업,104000,-2000,-1.89,1797526224000
138930,BNK금융지주,KOSPI,기타금융,8290,-30,-0.36,2670113151020
001460,BYC,KOSPI,섬유의복,35300,-250,-0.7,220489095000
001465,BYC우,KOSPI,섬유의복,15780,-20,-0.13,33987753000
001040,CJ,KOSPI,기타금융,121200,-800,-0.66,3536252157600
079160,CJ CGV,KOSPI,서비스업,5550,-50,-0.89,918965658900
00104K,CJ4우(전환),KOSPI,기타금융,85400,-1400,-1.61,360944124800
000120,CJ대한통운,KOSPI,운수창고업,94200,-1800,-1.88,2148922804800
011150,CJ씨푸드,KOSPI,음식료품,5020,-200,-3.83,180372480460
011155,CJ씨푸드1우,KOSPI,음식료품,21450,-250,-1.15,4290000000
001045,CJ우,KOSPI,기타금융,60000,0,0.0,135613380000
097950,CJ제일제당,KOSPI,음식료품,376000,-22000,-5.53,5660373936000
097955,CJ제일제당 우,KOSPI,음식료품,152700,-5200,-3.29,202699019100
000480,CR홀딩스,KOSPI,비금속광물,6120,30,0.49,286969798800
000590,CS홀딩스,KOSPI,기타금융,69900,-100,-0.14,80698291800
012030,DB,KOSPI,서비스업,1333,-19,-1.41,268164852689
016610,DB금융투자,KOSPI,증권,4320,0,0.0,183368400480
005830,DB손해보험,KOSPI,보험,110300,300,0.27,7809240000000
000990,DB하이텍,KOSPI,전기전자,48350,-1850,-3.69,2146671729800
139130,DGB금융지주,KOSPI,기타금융,7820,-60,-0.76,1322720414060
001530,DI동일,KOSPI,유통업,28000,650,2.38,706038816000
000210,DL,KOSPI,화학,58300,-700,-1.19,1221728037200
000215,DL우,KOSPI,화학,27700,-100,-0.36,46705385500
375500,DL이앤씨,KOSPI,건설업,32750,-700,-2.09,1267216153250
37550L,DL이앤씨2우(전환),KOSPI,건설업,23100,-200,-0.86,48786068100
37550K,DL이앤씨우,KOSPI,건설업,17580,-170,-0.96,37162098300
007340,DN오토모티브,KOSPI,전기전자,79500,0,0.0,794523397500
