종목코드,종목명,종가,대비,등락률,상장시가총액
5930,삼성전자,75300,-400,-0.53,449524626.0
660,SK하이닉스,193300,-900,-0.46,140722857.0
5380,현대차,259000,-6000,-2.26,54238793.0
207940,삼성바이오로직스,753000,1000,0.13,53594022.0
270,기아,119000,-1700,-1.41,47583152.0
68270,셀트리온,188100,9100,5.08,40816425.0
5490,POSCO홀딩스,375000,1000,0.27,31714211.0
105560,KB금융,77600,-1700,-2.14,31312459.0
35420,NAVER,176800,4100,2.37,28713839.0
6400,삼성SDI,378000,1000,0.27,25992992.0
51910,LG화학,361000,3500,0.98,25483836.0
28260,삼성물산,135400,-3300,-2.38,24071968.0
55550,신한지주,45400,-1600,-3.4,23126452.0
12330,현대모비스,220000,0,0.0,20604121.0
3670,포스코퓨처엠,262000,7000,2.75,20295364.0
35720,카카오,44600,300,0.68,19772348.0
247540,에코프로비엠,191200,3200,1.7,18699617.0
86790,하나금융지주,60400,-2300,-3.67,17658339.0
66570,LG전자,101100,-2000,-1.94,16544794.0
32830,삼성생명,82300,-3000,-3.52,16460000.0
810,삼성화재,343000,-14000,-3.92,16249569.0
42700,한미반도체,148600,1900,1.3,14413254.0
138040,메리츠금융지주,75100,-1300,-1.7,14323081.0
11200,HMM,19000,-130,-0.68,13091750.0
15760,한국전력,20000,-300,-1.48,12839282.0
86520,에코프로,96400,3100,3.32,12834536.0
3550,LG,79000,-2700,-3.3,12426778.0
196170,알테오젠,233500,34500,17.34,12410181.0
18260,삼성에스디에스,158200,-600,-0.38,12241168.0
34730,SK,166100,-12700,-7.1,12158242.0
34020,두산에너빌리티,19200,-1550,-7.47,12298774.0
259960,크래프톤,249500,2000,0.81,12067290.0
9150,삼성전기,153200,-5900,-3.71,11443074.0
329180,HD현대중공업,129500,-2300,-1.75,11496119.0
33780,KT&G,85200,400,0.47,11103477.0
17670,SK텔레콤,51100,-400,-0.78,10975772.0
24110,기업은행,13460,-140,-1.03,10733352.0
267260,HD현대일렉트릭,299000,8000,2.75,10778093.0
12450,한화에어로스페이스,211000,-12000,-5.38,10682930.0
323410,카카오뱅크,22250,-250,-1.11,10611495.0
90430,아모레퍼시픽,179100,-8100,-4.33,10476053.0
10130,고려아연,502000,4000,0.8,10496111.0
402340,SK스퀘어,77300,-900,-1.15,10416172.0
316140,우리금융지주,14070,-180,-1.26,10448262.0
96770,SK이노베이션,104300,-2000,-1.88,9985222.0
30200,KT,36450,-800,-2.15,9373664.0
42660,한화오션,29900,-1200,-3.86,9160131.0
9540,HD한국조선해양,130700,-2100,-1.58,9250046.0
352820,하이브,200000,-500,-0.25,8330419.0
