종목코드,종목명,종가,대비,등락률,상장시가총액
5930,삼성전자,80600,600,0.75,481164474.0
660,SK하이닉스,223000,-11000,-4.7,162344527.0
373220,LG에너지솔루션,331000,-2000,-0.6,77454000.0
5380,현대차,281000,1000,0.36,58845950.0
207940,삼성바이오로직스,734000,-16000,-2.13,52241716.0
270,기아,128300,400,0.31,51301835.0
68270,셀트리온,179000,1900,1.07,38841787.0
105560,KB금융,80000,1400,1.78,32280886.0
5490,POSCO홀딩스,366000,-500,-0.14,30953070.0
35420,NAVER,168900,1300,0.78,27430812.0
6400,삼성SDI,377500,-11500,-2.96,25958610.0
51910,LG화학,356000,500,0.14,25130874.0
55550,신한지주,48000,400,0.84,24450874.0
28260,삼성물산,135900,600,0.44,24160860.0
12330,현대모비스,238000,500,0.21,22132832.0
3670,포스코퓨처엠,258000,0,0.0,19985511.0
35720,카카오,42050,-1100,-2.55,18644772.0
66570,LG전자,110200,1900,1.75,18033989.0
247540,에코프로비엠,182100,-4500,-2.41,17809625.0
32830,삼성생명,87000,0,0.0,17400000.0
86790,하나금융지주,59900,0,0.0,17512160.0
42700,한미반도체,175400,-4900,-2.72,17012683.0
810,삼성화재,351500,-17500,-4.74,16652255.0
196170,알테오젠,286000,5000,1.78,15200479.0
138040,메리츠금융지주,75900,-600,-0.78,14475657.0
329180,HD현대중공업,152000,5700,3.9,13493514.0
11200,HMM,18980,-160,-0.84,13457570.0
259960,크래프톤,276000,-21000,-7.07,13217144.0
34020,두산에너빌리티,20800,-100,-0.48,13323672.0
3550,LG,80600,-1900,-2.3,12678460.0
15760,한국전력,19350,70,0.36,12422005.0
86520,에코프로,91300,-1500,-1.62,12155530.0
402340,SK스퀘어,91200,-6300,-6.46,12289196.0
12450,한화에어로스페이스,236000,0,0.0,11948680.0
18260,삼성에스디에스,150800,-1000,-0.66,11668572.0
47050,포스코인터내셔널,67300,2900,4.5,11839604.0
34730,SK,158000,-2500,-1.56,11455427.0
17670,SK텔레콤,52400,200,0.38,11254999.0
33780,KT&G,85900,-400,-0.46,11194702.0
9150,삼성전기,149000,-400,-0.27,11129361.0
24110,기업은행,13620,120,0.89,10860940.0
9540,HD한국조선해양,154300,2700,1.78,10920292.0
267260,HD현대일렉트릭,300000,-17000,-5.36,10814141.0
316140,우리금융지주,14490,250,1.76,10760151.0
96770,SK이노베이션,108400,-5700,-5.0,10377738.0
10130,고려아연,492000,-6000,-1.2,10186015.0
90430,아모레퍼시픽,172800,0,0.0,10107549.0
323410,카카오뱅크,21000,-400,-1.87,10015449.0
42660,한화오션,32000,250,0.79,9803485.0
30200,KT,36850,-150,-0.41,9286999.0
28300,HLB,66000,1700,2.64,8635794.0
86280,현대글로비스,219000,3000,1.39,8212500.0
352820,하이브,198100,-1900,-0.95,8251280.0
10140,삼성중공업,8950,60,0.67,7876000.0
3490,대한항공,21350,-100,-0.47,7861511.0
5830,DB손해보험,107700,-3400,-3.06,7625160.0
10950,S-Oil,66700,-1200,-1.77,7509272.0
450080,에코프로머티,95200,-2900,-2.96,6575521.0
100,유한양행,78000,400,0.52,6256307.0
11790,SKC,167700,-9300,-5.25,6350514.0
11070,LG이노텍,262000,6500,2.54,6200782.0
36460,한국가스공사,63500,1600,2.58,5861876.0
10120,LS ELECTRIC,196300,-13700,-6.52,5889000.0
34220,LG디스플레이,11760,800,7.3,5880000.0
22100,포스코DX,38450,-800,-2.04,5845735.0
97950,CJ제일제당,393000,2500,0.64,5916295.0
326030,SK바이오팜,76300,300,0.39,5975301.0
51900,LG생활건강,360000,-9000,-2.44,5622551.0
267250,HD현대,72400,0,0.0,5719099.0
161390,한국타이어앤테크놀로지,44700,-1400,-3.04,5537216.0
454910,두산로보틱스,79300,-2400,-2.94,5140224.0
47810,한국항공우주,53600,1800,3.47,5224666.0
66970,엘앤에프,146700,-5300,-3.49,5324438.0
241560,두산밥캣,52500,-1100,-2.05,5263081.0
9830,한화솔루션,30000,100,0.33,5156776.0
11170,롯데케미칼,115000,0,0.0,4919173.0
3230,삼양식품,670000,-30000,-4.29,5047120.0
5070,코스모신소재,146600,-5100,-3.36,4766077.0
348370,엔켐,236000,-30000,-11.28,4798009.0
79550,LIG넥스원,210500,4000,1.94,4631000.0
6260,LS,142100,-6700,-4.5,4575620.0
1570,금양,80400,-800,-0.99,4667223.0
251270,넷마블,52800,-900,-1.68,4538345.0
307950,현대오토에버,156800,100,0.06,4300080.0
21240,코웨이,58000,-200,-0.34,4280378.0
28050,삼성E&A,22300,50,0.22,4370800.0
180640,한진칼,66700,-2800,-4.03,4453044.0
32640,LG유플러스,9850,20,0.2,4300622.0
