종목코드,종목명,종가,대비,등락률,상장시가총액
5930,삼성전자,79800,1700,2.18,476388647.0
660,SK하이닉스,234500,11500,5.16,170716555.0
373220,LG에너지솔루션,331000,-5500,-1.63,77454000.0
5380,현대차,283000,4500,1.62,59264782.0
207940,삼성바이오로직스,740000,4000,0.54,52668760.0
270,기아,131000,1900,1.47,52381453.0
68270,셀트리온,179100,-700,-0.39,38863486.0
105560,KB금융,77400,-900,-1.15,31231757.0
5490,POSCO홀딩스,368000,-3000,-0.81,31122213.0
35420,NAVER,166800,700,0.42,27089753.0
6400,삼성SDI,375000,-6000,-1.57,25786699.0
51910,LG화학,351500,-3500,-0.99,24813209.0
28260,삼성물산,131400,700,0.54,23360832.0
55550,신한지주,45700,-500,-1.08,23279270.0
12330,현대모비스,235500,500,0.21,21900345.0
3670,포스코퓨처엠,258500,-5000,-1.9,20024242.0
35720,카카오,42300,-100,-0.24,18755620.0
247540,에코프로비엠,191600,-7300,-3.67,18738738.0
42700,한미반도체,179500,-600,-0.33,17410357.0
86790,하나금융지주,58400,-100,-0.17,17073625.0
32830,삼성생명,84000,700,0.84,16800000.0
66570,LG전자,101800,1400,1.39,16659347.0
810,삼성화재,334000,-1500,-0.45,15823196.0
138040,메리츠금융지주,76100,1500,2.01,14513801.0
196170,알테오젠,273500,6000,2.24,14536122.0
259960,크래프톤,276500,2000,0.73,13241088.0
15760,한국전력,19840,100,0.51,12736567.0
11200,HMM,17930,390,2.22,12713078.0
86520,에코프로,94100,-3000,-3.09,12528318.0
34020,두산에너빌리티,19720,40,0.2,12631866.0
402340,SK스퀘어,93400,2700,2.98,12585646.0
3550,LG,79500,-900,-1.12,12505429.0
34730,SK,169000,-7900,-4.47,12370518.0
329180,HD현대중공업,133600,-900,-0.67,11860088.0
47050,포스코인터내셔널,66600,-1800,-2.63,11716458.0
12450,한화에어로스페이스,232500,-6000,-2.52,11771475.0
18260,삼성에스디에스,149300,-1000,-0.67,11552506.0
9150,삼성전기,151600,900,0.6,11323564.0
33780,KT&G,86500,-300,-0.35,11272896.0
17670,SK텔레콤,51500,500,0.98,11061688.0
24110,기업은행,13310,140,1.06,10613738.0
90430,아모레퍼시픽,181600,-3400,-1.84,10622285.0
267260,HD현대일렉트릭,289500,3000,1.05,10435646.0
316140,우리금융지주,14120,170,1.22,10485392.0
323410,카카오뱅크,20950,-300,-1.41,9991603.0
10130,고려아연,488500,6000,1.24,10113554.0
9540,HD한국조선해양,138600,900,0.65,9809154.0
42660,한화오션,31850,-650,-2.0,9757531.0
96770,SK이노베이션,103100,-5700,-5.24,9870339.0
30200,KT,36300,100,0.28,9148387.0
352820,하이브,199900,-2600,-1.28,8326254.0
28300,HLB,62800,-400,-0.63,8217089.0
3490,대한항공,21750,-100,-0.46,8008799.0
10140,삼성중공업,8860,-30,-0.34,7796800.0
86280,현대글로비스,202500,12500,6.58,7593750.0
5830,DB손해보험,103400,300,0.29,7320720.0
10950,S-Oil,66500,-400,-0.6,7486756.0
450080,에코프로머티,102700,-6800,-6.21,7084782.0
11790,SKC,182000,-6100,-3.24,6892030.0
11070,LG이노텍,263500,2000,0.76,6236283.0
10120,LS ELECTRIC,201500,-5000,-2.42,6045000.0
100,유한양행,75600,-600,-0.79,6063805.0
326030,SK바이오팜,76900,-1100,-1.41,6022289.0
51900,LG생활건강,388500,-4000,-1.02,6067670.0
22100,포스코DX,40500,-1100,-2.64,6157407.0
97950,CJ제일제당,396500,7000,1.8,5968985.0
161390,한국타이어앤테크놀로지,46350,400,0.87,5741609.0
66970,엘앤에프,153400,-2800,-1.79,5567613.0
267250,HD현대,68300,-800,-1.16,5395228.0
454910,두산로보틱스,84900,700,0.83,5503216.0
241560,두산밥캣,53300,0,0.0,5343281.0
3230,삼양식품,712000,26000,3.79,5363507.0
47810,한국항공우주,53200,200,0.38,5185676.0
