종목코드,종목명,종가,대비,등락률,상장시가총액
5930,삼성전자,75200,-500,-0.66,448927648.0
660,SK하이닉스,212500,4500,2.16,154700503.0
5380,현대차,271000,3500,1.31,56751788.0
207940,삼성바이오로직스,740000,4000,0.54,52668760.0
270,기아,122000,600,0.49,48782727.0
68270,셀트리온,192600,3100,1.64,41792895.0
5490,POSCO홀딩스,380000,3000,0.8,32137067.0
105560,KB금융,78400,0,0.0,31635268.0
35420,NAVER,170200,-500,-0.29,27641943.0
6400,삼성SDI,392500,-500,-0.13,26990078.0
51910,LG화학,375000,4500,1.21,26472129.0
28260,삼성물산,134400,800,0.6,23894184.0
55550,신한지주,46200,0,0.0,23533966.0
3670,포스코퓨처엠,286000,11000,4.0,22154481.0
247540,에코프로비엠,213500,-2000,-0.93,20880587.0
12330,현대모비스,219000,-2500,-1.13,20510466.0
35720,카카오,43150,50,0.12,19132506.0
86790,하나금융지주,59700,0,0.0,17453689.0
32830,삼성생명,83800,200,0.24,16760000.0
66570,LG전자,98200,-2400,-2.39,16070215.0
810,삼성화재,334500,-3000,-0.89,15846883.0
42700,한미반도체,159300,-700,-0.44,15451086.0
196170,알테오젠,283500,30500,12.06,15067608.0
138040,메리츠금융지주,73800,-1400,-1.86,14075144.0
86520,에코프로,103100,-600,-0.58,13726563.0
34730,SK,181400,-7200,-3.82,13278177.0
3550,LG,79800,-700,-0.87,12552619.0
15760,한국전력,19800,40,0.2,12710889.0
259960,크래프톤,255500,1000,0.39,12357486.0
11200,HMM,17500,-910,-4.94,12408191.0
34020,두산에너빌리티,19160,-290,-1.49,12273152.0
18260,삼성에스디에스,155600,1000,0.65,12039986.0
402340,SK스퀘어,88100,-1700,-1.89,11871471.0
329180,HD현대중공업,129700,300,0.23,11513873.0
33780,KT&G,86500,600,0.7,11272896.0
9150,삼성전기,149700,-1200,-0.8,11181646.0
17670,SK텔레콤,51100,-300,-0.58,10975772.0
24110,기업은행,13410,-10,-0.07,10693481.0
323410,카카오뱅크,22350,-50,-0.22,10659299.0
12450,한화에어로스페이스,210000,-4000,-1.87,10632300.0
316140,우리금융지주,14100,0,0.0,10470540.0
90430,아모레퍼시픽,178100,2000,1.14,10417560.0
10130,고려아연,498000,10000,2.05,10310235.0
96770,SK이노베이션,103600,2300,2.27,9918207.0
267260,HD현대일렉트릭,272500,-12000,-4.22,9822844.0
9540,HD한국조선해양,133700,-1000,-0.74,9462366.0
47050,포스코인터내셔널,53700,6650,14.13,9447054.0
42660,한화오션,30350,50,0.17,9297993.0
30200,KT,36800,0,0.0,9274398.0
352820,하이브,198000,-4500,-2.22,8247115.0
10140,삼성중공업,9220,-100,-1.07,8113600.0
3490,대한항공,22150,200,0.91,8156088.0
28300,HLB,58500,-700,-1.18,7654454.0
5830,DB손해보험,105100,-1700,-1.59,7441080.0
10950,S-Oil,66400,-500,-0.75,7475497.0
86280,현대글로비스,184000,1000,0.55,6900000.0
326030,SK바이오팜,80300,-1700,-2.07,6288554.0
11790,SKC,166300,-3400,-2.0,6297498.0
51900,LG생활건강,401500,1500,0.38,6270706.0
100,유한양행,75800,-2600,-3.32,6079847.0
22100,포스코DX,40500,2350,6.16,6157407.0
66970,엘앤에프,164800,2000,1.23,5981373.0
10120,LS ELECTRIC,194800,100,0.05,5844000.0
267250,HD현대,69100,1600,2.37,5458422.0
348370,엔켐,286000,8000,2.88,5536357.0
5070,코스모신소재,170800,5200,3.14,5552837.0
9830,한화솔루션,32350,2600,8.74,5560724.0
11070,LG이노텍,229500,-13500,-5.56,5431601.0
97950,CJ제일제당,362500,-500,-0.14,5457142.0
161390,한국타이어앤테크놀로지,44850,300,0.67,5555797.0
241560,두산밥캣,52800,-1800,-3.3,5293156.0
1570,금양,89600,2100,2.4,5201283.0
34220,LG디스플레이,10080,30,0.3,5040000.0
11170,롯데케미칼,119800,9500,8.61,5124495.0
47810,한국항공우주,51500,-500,-0.96,5019968.0
251270,넷마블,56100,-1600,-2.77,4821991.0
6260,LS,146600,-5500,-3.62,4720520.0
180640,한진칼,69300,3000,4.52,4626626.0
3230,삼양식품,590000,-29000,-4.68,4444479.0
29780,삼성카드,38950,50,0.13,4512704.0
6800,미래에셋증권,7070,-120,-1.67,4208887.0
11780,금호석유,151000,8400,5.89,4178575.0
32640,LG유플러스,9720,0,0.0,4243862.0
28050,삼성E&A,22300,-600,-2.62,4370800.0
377300,카카오페이,30600,700,2.34,4116570.0
307950,현대오토에버,147000,-1100,-0.74,4031325.0
78930,GS,43250,550,1.29,4018590.0
64350,현대로템,37750,-500,-1.31,4120122.0
36570,엔씨소프트,187000,-1000,-0.53,4105402.0
36460,한국가스공사,44000,2900,7.06,4061772.0
21240,코웨이,54500,-2000,-3.54,4022079.0
1040,CJ,132000,4500,3.53,3851364.0
302440,SK바이오사이언스,51300,-900,-1.72,3941264.0
5940,NH투자증권,11900,-30,-0.25,3897158.0
4020,현대제철,28600,-600,-2.05,3816549.0
271560,오리온,97200,-700,-0.72,3842912.0
68760,셀트리온제약,93500,400,0.43,3889287.0
58470,리노공업,260000,-14500,-5.28,3963016.0
720,현대건설,32900,-200,-0.6,3663605.0
298040,효성중공업,396000,-500,-0.13,3692521.0
71050,한국금융지주,67200,-1200,-1.75,3744787.0
128940,한미약품,281500,-2000,-0.71,3606294.0
79550,LIG넥스원,169500,-6400,-3.64,3729000.0
35250,강원랜드,14750,10,0.07,3155622.0
16360,삼성증권,35800,-450,-1.24,3196940.0
272210,한화시스템,17200,-210,-1.21,3249413.0
4370,농심,533000,5000,0.95,3242048.0
361610,SK아이이테크놀로지,46150,1600,3.59,3290384.0
403870,HPSP,40000,-200,-0.5,3317366.0
150,두산,202000,1000,0.5,3337815.0
277810,레인보우로보틱스,164900,4300,2.68,3199037.0
39490,키움증권,127400,-1300,-1.01,3252102.0
3410,쌍용C&E,7000,0,0.0,3106508.0
214150,클래시스,48050,650,1.37,3075177.0
7660,이수페타시스,47950,-850,-1.74,3032666.0
250,삼천당제약,123500,2000,1.65,2896998.0
145020,휴젤,242000,29000,13.62,2907362.0
1440,대한전선,15420,-300,-1.91,2875017.0
1450,현대해상,32600,50,0.15,2914440.0
2790,아모레G,34450,850,2.53,2840684.0
10620,HD현대미포,72400,2800,4.02,2891812.0
4990,롯데지주,25050,-250,-0.99,2627976.0
18880,한온시스템,4930,20,0.41,2631634.0
20150,롯데에너지머티리얼즈,56200,4400,8.49,2591429.0
383220,F&F,68300,900,1.34,2616373.0
138930,BNK금융지주,8080,-90,-1.1,2602475.0
175330,JB금융지주,13430,-290,-2.11,2619967.0
52690,한전기술,68400,-1300,-1.87,2614248.0
39030,이오테크닉스,193100,-5100,-2.57,2378905.0
78600,대주전자재료,155800,32700,26.56,2411876.0
141080,리가켐바이오,66800,-200,-0.3,2442699.0
88350,한화생명,2750,-35,-1.26,2388458.0
357780,솔브레인,313000,-2000,-0.63,2434691.0
2380,KCC,280000,-5500,-1.93,2488212.0
81660,휠라홀딩스,39150,-450,-1.14,2378449.0
263750,펄어비스,39550,-100,-0.25,2541003.0
5290,동진쎄미켐,42300,-900,-2.08,2174833.0
120,CJ대한통운,100700,-400,-0.4,2297203.0
7070,GS리테일,21800,200,0.93,2282851.0
204320,HL만도,47100,350,0.75,2211680.0
8930,한미사이언스,31250,-400,-1.26,2137236.0
12750,에스원,60100,0,0.0,2283751.0
28670,팬오션,4110,-95,-2.26,2197081.0
8770,호텔신라,56000,300,0.54,2197895.0
