종목코드,종목명,종가,대비,등락률,상장시가총액
18880,한온시스템,4965,-45,-0.9,2650317.0
52690,한전기술,69900,0,0.0,2671578.0
4990,롯데지주,25750,-400,-1.53,2701413.0
39030,이오테크닉스,204500,7300,3.7,2519348.0
141080,리가켐바이오,66000,2300,3.61,2386936.0
145020,휴젤,202000,11000,5.76,2426806.0
357780,솔브레인,322500,-7000,-2.12,2508588.0
120,CJ대한통운,103700,0,0.0,2365640.0
383220,F&F,64800,-2200,-3.28,2482298.0
12750,에스원,62800,-800,-1.26,2386348.0
28670,팬오션,4460,155,3.6,2384180.0
81660,휠라홀딩스,39300,-100,-0.25,2387562.0
88350,한화생명,2815,10,0.36,2444912.0
7070,GS리테일,22750,2920,14.73,2382333.0
5290,동진쎄미켐,42650,700,1.67,2192828.0
8770,호텔신라,56900,0,0.0,2233218.0
112610,씨에스윈드,52500,-300,-0.57,2213999.0
20150,롯데에너지머티리얼즈,47250,-350,-0.74,2178737.0
30000,제일기획,18800,110,0.59,2162775.0
8930,한미사이언스,32000,450,1.43,2188530.0
35760,CJ ENM,88200,-1300,-1.45,1934151.0
35900,JYP Ent.,58700,600,1.03,2085757.0
41510,에스엠,89200,-2100,-2.3,2104185.0
282330,BGF리테일,118700,2200,1.89,2051600.0
14680,한솔케미칼,183000,-6500,-3.43,2074341.0
204320,HL만도,43850,450,1.04,2059070.0
880,한화,27250,200,0.74,2042626.0
78600,대주전자재료,117800,1300,1.12,1823614.0
237690,에스티팜,90900,-100,-0.11,1756008.0
240810,원익IPS,36850,1450,4.1,1808742.0
293490,카카오게임즈,21100,-250,-1.17,1743498.0
990,DB하이텍,41650,1100,2.71,1849201.0
192820,코스맥스,168700,-1300,-0.76,1914662.0
9420,한올바이오파마,33150,1600,5.07,1731777.0
10060,OCI홀딩스,95600,-1300,-1.34,1870317.0
12510,더존비즈온,60500,-1000,-1.63,1838158.0
23530,롯데쇼핑,66100,200,0.3,1869887.0
26960,동서,18500,-250,-1.33,1844450.0
7310,오뚜기,457000,2000,0.44,1831578.0
36930,주성엔지니어링,32600,-150,-0.46,1572924.0
336260,두산퓨얼셀,24200,-300,-1.22,1584948.0
328130,루닛,55200,200,0.36,1591451.0
4170,신세계,164800,1600,0.98,1622486.0
5850,에스엘,36000,-550,-1.5,1672147.0
11210,현대위아,56100,500,0.9,1525644.0
17800,현대엘리베이,40400,250,0.62,1579332.0
42670,HD현대인프라코어,8390,80,0.96,1674673.0
47040,대우건설,3735,80,2.19,1552351.0
51600,한전KPS,36900,-250,-0.67,1660500.0
103140,풍산,61100,-800,-1.29,1712283.0
139480,이마트,61400,100,0.16,1711575.0
161890,한국콜마,65600,1300,2.02,1548493.0
298020,효성티앤씨,391000,-10500,-2.62,1692124.0
298050,효성첨단소재,364000,-8000,-2.15,1630701.0
95340,ISC,75100,-900,-1.18,1591899.0
39200,오스코텍,37300,6700,21.9,1417175.0
375500,DL이앤씨,34100,100,0.29,1319453.0
112040,위메이드,43850,1150,2.69,1488641.0
121600,나노신소재,110500,1100,1.01,1347667.0
137400,피엔티,66500,400,0.61,1512290.0
214450,파마리서치,130700,-15400,-10.54,1360982.0
253450,스튜디오드래곤,43950,-1050,-2.33,1321071.0
80,하이트진로,20100,0,0.0,1409686.0
240,한국앤컴퍼니,15300,170,1.12,1452509.0
3690,코리안리,8070,-10,-0.12,1334516.0
4490,세방전지,103700,1000,0.97,1451800.0
6280,녹십자,115700,1000,0.87,1352132.0
111770,영원무역,33700,-250,-0.74,1493296.0
139130,DGB금융지주,8170,-70,-0.85,1381921.0
185750,종근당,103700,-800,-0.77,1366187.0
64760,티씨케이,122600,1600,1.32,1431355.0
34230,파라다이스,14230,-90,-0.63,1305910.0
353200,대덕전자,23300,150,0.65,1151414.0
67310,하나마이크론,21300,150,0.71,1111210.0
84370,유진테크,49500,-1400,-2.75,1134344.0
96530,씨젠,21250,100,0.47,1109802.0
140410,메지온,39600,-1050,-2.58,1178283.0
140860,파크시스템스,181000,400,0.22,1262630.0
213420,덕산네오룩스,44750,-500,-1.1,1111195.0
214370,케어젠,22250,850,3.97,1195159.0
281740,레이크머티리얼즈,19790,320,1.64,1300808.0
298380,에이비엘바이오,24050,1400,6.18,1151816.0
393890,더블유씨피,34000,-1350,-3.82,1145682.0
210,DL,54000,-1400,-2.53,1131618.0
1120,LX인터내셔널,32450,1100,3.51,1257762.0
1740,SK네트웍스,5110,60,1.19,1130730.0
2710,TCC스틸,47450,-1100,-2.27,1243840.0
4000,롯데정밀화학,47850,-100,-0.21,1234530.0
5300,롯데칠성,129300,200,0.15,1199760.0
5420,코스모화학,29250,150,0.52,1123441.0
6110,삼아알미늄,82100,-1300,-1.56,1207848.0
6360,GS건설,15140,150,1.0,1295704.0
9240,한샘,55500,-2600,-4.48,1306133.0
69620,대웅제약,107300,400,0.37,1243239.0
69960,현대백화점,49900,250,0.5,1167782.0
108320,LX세미콘,71100,0,0.0,1156392.0
120110,코오롱인더,41650,-400,-0.95,1146170.0
137310,에스디바이오센서,10110,70,0.7,1258466.0
145720,덴티움,111700,-500,-0.45,1236388.0
248070,솔루엠,24550,-100,-0.41,1227636.0
336370,솔루스첨단소재,17610,-250,-1.4,1236527.0
67160,SOOP,106400,-4800,-4.32,1223043.0
56190,에스에프에이,28200,350,1.26,1012627.0
285130,SK케미칼,54100,1000,1.88,933430.0
74600,원익QnC,34900,1300,3.87,917451.0
85660,차바이오텍,17010,10,0.06,957909.0
86900,메디톡스,141900,11300,8.65,1035657.0
98460,고영,13820,60,0.44,948809.0
166090,하나머티리얼즈,49400,-900,-1.79,977017.0
195940,HK이노엔,38100,-550,-1.42,1079369.0
222800,심텍,34150,500,1.49,1087819.0
225570,넥슨게임즈,14520,500,3.57,955471.0
365340,성일하이텍,81700,400,0.49,991437.0
383310,에코프로에이치엔,64200,-700,-1.08,982577.0
3030,세아제강지주,219500,8500,4.03,909094.0
3620,KG모빌리티,5420,20,0.37,1057949.0
6650,대한유화,147000,-4500,-2.97,955500.0
8730,율촌화학,37900,3050,8.75,939920.0
39130,하나투어,57000,-200,-0.35,914234.0
100090,SK오션플랜트,15350,240,1.59,908652.0
105630,한세실업,23150,-450,-1.91,926000.0
267270,HD현대건설기계,57000,0,0.0,1074284.0
271940,일진하이솔루스,25550,600,2.4,927802.0
67630,HLB생명과학,9370,-670,-6.67,1008697.0
9520,포스코엠텍,20150,-50,-0.25,839100.0
456040,OCI,96100,-500,-0.52,860335.0
36540,SFA반도체,5450,50,0.93,896309.0
48410,현대바이오,20100,-200,-0.99,800394.0
58970,엠로,65500,-9600,-12.78,734394.0
64550,바이오니아,31350,-500,-1.57,809153.0
101490,에스앤에스텍,40050,350,0.88,859130.0
122870,와이지엔터테인먼트,43200,-450,-1.03,807453.0
222080,씨아이에스,10940,-40,-0.36,781563.0
278280,천보,72700,-800,-1.09,727000.0
287410,제이시스메디칼,11550,-270,-2.28,885167.0
310210,보로노이,42950,1450,3.49,763661.0
1430,세아베스틸지주,22850,50,0.22,819449.0
2350,넥센타이어,8140,-150,-1.81,795017.0
6120,SK디스커버리,44750,700,1.59,840667.0
7340,DN오토모티브,79800,-100,-0.13,797522.0
9900,명신산업,14730,-100,-0.67,772885.0
10780,아이에스동서,26400,950,3.73,796936.0
23590,다우기술,19720,10,0.05,884770.0
32350,롯데관광개발,10340,-500,-4.61,787762.0
69260,TKG휴켐스,19540,-210,-1.06,798768.0
89590,제주항공,10910,70,0.65,879793.0
90460,비에이치,24650,-1800,-6.81,849547.0
93370,후성,7490,-10,-0.13,803342.0
114090,GKL,13450,-30,-0.22,831959.0
178920,PI첨단소재,27650,-350,-1.25,811979.0
195870,해성디에스,47000,1000,2.17,799000.0
25900,동화기업,17130,330,1.96,865956.0
3380,하림지주,6260,50,0.81,701155.0
192650,드림텍,9190,160,1.77,632937.0
58610,에스피지,25900,150,0.58,574394.0
78340,컴투스,40350,150,0.37,513968.0
189300,인텔리안테크,59500,600,1.02,638633.0
215200,메가스터디교육,59400,-1000,-1.66,690577.0
272290,이녹스첨단소재,32650,-300,-0.91,659584.0
336570,원텍,7730,-130,-1.65,690603.0
348210,넥스틴,64800,-1000,-1.52,671157.0
372170,윤성에프앤씨,74800,5300,7.63,596833.0
376300,디어유,26050,400,1.56,618385.0
418550,제이오,22100,-350,-1.56,702167.0
1060,JW중외제약,29650,950,3.31,690428.0
16380,KG스틸,7030,150,2.18,703063.0
19170,신풍제약,12800,200,1.59,678208.0
64960,SNT모티브,46050,250,0.55,673395.0
161000,애경케미칼,12850,10,0.08,625136.0
15750,성우하이텍,8500,200,2.41,680000.0
95660,네오위즈,20900,600,2.96,460505.0
299030,하나기술,57800,4800,9.06,471683.0
290650,엘앤씨바이오,19220,320,1.69,436004.0
