종목코드,종목명,종가,대비,등락률,상장시가총액
5930,삼성전자,78100,-1500,-1.88,466240017.0
660,SK하이닉스,223000,2000,0.9,162344527.0
373220,LG에너지솔루션,336500,-12500,-3.58,78741000.0
5380,현대차,278500,10500,3.92,58322409.0
207940,삼성바이오로직스,736000,-1000,-0.14,52384064.0
270,기아,129100,6400,5.22,51621722.0
68270,셀트리온,179800,-3600,-1.96,39015381.0
105560,KB금융,78300,-2600,-3.21,31594917.0
5490,POSCO홀딩스,371000,-9000,-2.37,31375926.0
35420,NAVER,166100,-3800,-2.24,26976067.0
6400,삼성SDI,381000,-2500,-0.65,26199286.0
51910,LG화학,355000,-6000,-1.66,25060282.0
55550,신한지주,46200,-750,-1.6,23533966.0
28260,삼성물산,130700,-2300,-1.73,23236383.0
12330,현대모비스,235000,-3000,-1.26,21853847.0
3670,포스코퓨처엠,263500,-9500,-3.48,20411558.0
247540,에코프로비엠,198900,-1600,-0.8,19452687.0
35720,카카오,42400,-1500,-3.42,18799960.0
42700,한미반도체,180100,200,0.11,17468553.0
86790,하나금융지주,58500,-100,-0.17,17102861.0
32830,삼성생명,83300,400,0.48,16660000.0
66570,LG전자,100400,1500,1.52,16430241.0
810,삼성화재,335500,2500,0.75,15894258.0
138040,메리츠금융지주,74600,1500,2.05,14227721.0
196170,알테오젠,267500,2500,0.94,14217231.0
259960,크래프톤,274500,2500,0.92,13145312.0
34730,SK,176900,-400,-0.23,12948784.0
86520,에코프로,97100,-2300,-2.31,12927733.0
15760,한국전력,19740,0,0.0,12672371.0
11200,HMM,17540,-510,-2.83,12436553.0
34020,두산에너빌리티,19680,20,0.1,12606243.0
3550,LG,80400,400,0.5,12647000.0
402340,SK스퀘어,90700,-700,-0.77,12221821.0
47050,포스코인터내셔널,68400,100,0.15,12033119.0
12450,한화에어로스페이스,238500,10000,4.38,12075255.0
329180,HD현대중공업,134500,1900,1.43,11939984.0
18260,삼성에스디에스,150300,-500,-0.33,11629883.0
33780,KT&G,86800,0,0.0,11311993.0
9150,삼성전기,150700,-1000,-0.66,11256340.0
17670,SK텔레콤,51000,100,0.2,10954293.0
90430,아모레퍼시픽,185000,-1600,-0.86,10821160.0
24110,기업은행,13170,-200,-1.5,10502099.0
96770,SK이노베이션,108800,-3100,-2.77,10416032.0
316140,우리금융지주,13950,-170,-1.2,10359151.0
267260,HD현대일렉트릭,286500,-3500,-1.21,10327504.0
323410,카카오뱅크,21250,-350,-1.62,10134680.0
10130,고려아연,482500,3000,0.63,9989334.0
42660,한화오션,32500,250,0.78,9956664.0
9540,HD한국조선해양,137700,-1200,-0.86,9745458.0
30200,KT,36200,-200,-0.55,9123185.0
352820,하이브,202500,2000,1.0,8434550.0
28300,HLB,63200,900,1.44,8269427.0
3490,대한항공,21850,-400,-1.8,8045621.0
10140,삼성중공업,8890,-150,-1.66,7823200.0
10950,S-Oil,66900,-900,-1.33,7531789.0
450080,에코프로머티,109500,-2700,-2.41,7553881.0
5830,DB손해보험,103100,-700,-0.67,7299480.0
11790,SKC,188100,-7200,-3.69,7123027.0
86280,현대글로비스,190000,1000,0.53,7125000.0
10120,LS ELECTRIC,206500,7500,3.77,6195000.0
22100,포스코DX,41600,-300,-0.72,6324645.0
11070,LG이노텍,261500,-2500,-0.95,6188948.0
51900,LG생활건강,392500,-8500,-2.12,6130142.0
100,유한양행,76200,1700,2.28,6111931.0
326030,SK바이오팜,78000,-300,-0.38,6108434.0
97950,CJ제일제당,389500,7500,1.96,5863605.0
161390,한국타이어앤테크놀로지,45950,250,0.55,5692059.0
66970,엘앤에프,156200,-5100,-3.16,5669238.0
241560,두산밥캣,53300,-700,-1.3,5343281.0
348370,엔켐,276000,-21000,-7.07,5342778.0
454910,두산로보틱스,84200,-3400,-3.88,5457842.0
267250,HD현대,69100,400,0.58,5458422.0
47810,한국항공우주,53000,1500,2.91,5166181.0
1570,금양,87600,-900,-1.02,5085183.0
34220,LG디스플레이,10380,340,3.39,5190000.0
5070,코스모신소재,156900,-5100,-3.15,5100938.0
9830,한화솔루션,30250,-800,-2.58,5199749.0
3230,삼양식품,686000,39000,6.03,5167648.0
36460,한국가스공사,53300,1500,2.9,4920283.0
180640,한진칼,74000,2000,2.78,4940409.0
251270,넷마블,56000,100,0.18,4813396.0
11170,롯데케미칼,110600,-3400,-2.98,4730961.0
6260,LS,146700,1000,0.69,4723740.0
79550,LIG넥스원,206500,30500,17.33,4543000.0
64350,현대로템,42600,3900,10.08,4649462.0
28050,삼성E&A,22200,-750,-3.27,4351200.0
32640,LG유플러스,9730,-10,-0.1,4248229.0
29780,삼성카드,37850,-350,-0.92,4385259.0
78930,GS,43650,200,0.46,4055756.0
271560,오리온,104400,5500,5.56,4127572.0
307950,현대오토에버,153500,-1700,-1.1,4209581.0
36570,엔씨소프트,185800,2500,1.36,4079057.0
6800,미래에셋증권,6990,0,0.0,4161262.0
11780,금호석유,149900,5800,4.02,4148135.0
21240,코웨이,55000,-400,-0.72,4058979.0
58470,리노공업,266500,5500,2.11,4062092.0
302440,SK바이오사이언스,51400,-600,-1.15,3948946.0
377300,카카오페이,28500,-150,-0.52,3834847.0
5940,NH투자증권,11920,100,0.85,3903708.0
4020,현대제철,28600,-600,-2.05,3816549.0
68760,셀트리온제약,92800,-600,-0.64,3860169.0
71050,한국금융지주,64900,-300,-0.46,3616617.0
128940,한미약품,280500,2500,0.9,3593483.0
1040,CJ,128300,-800,-0.62,3743409.0
150,두산,219000,2500,1.15,3618720.0
720,현대건설,32150,-450,-1.38,3580088.0
272210,한화시스템,19550,850,4.55,3693374.0
4370,농심,575000,27000,4.93,3497519.0
298040,효성중공업,375000,500,0.13,3496706.0
361610,SK아이이테크놀로지,44050,-650,-1.45,3140659.0
214150,클래시스,50600,-2000,-3.8,3238376.0
16360,삼성증권,36400,300,0.83,3250520.0
403870,HPSP,38950,900,2.37,3230285.0
7660,이수페타시스,52400,1000,1.95,3314112.0
277810,레인보우로보틱스,167700,3700,2.26,3253356.0
10620,HD현대미포,76000,-100,-0.13,3035603.0
39490,키움증권,122000,-300,-0.25,3114258.0
35250,강원랜드,14560,-140,-0.95,3114974.0
250,삼천당제약,121800,-1200,-0.98,2857120.0
145020,휴젤,233500,12500,5.66,2805244.0
263750,펄어비스,43900,100,0.23,2820481.0
1440,대한전선,15650,100,0.64,2917900.0
1450,현대해상,31400,-600,-1.88,2807160.0
2790,아모레G,35250,-100,-0.28,2906651.0
4990,롯데지주,24750,-250,-1.0,2596504.0
18880,한온시스템,4770,100,2.14,2546226.0
20150,롯데에너지머티리얼즈,57300,1400,2.5,2642151.0
383220,F&F,65900,-100,-0.15,2524436.0
138930,BNK금융지주,8040,10,0.12,2589591.0
175330,JB금융지주,13640,40,0.29,2660935.0
52690,한전기술,69000,-1000,-1.43,2637180.0
39030,이오테크닉스,195600,-2100,-1.06,2409704.0
141080,리가켐바이오,62600,-800,-1.26,2289116.0
357780,솔브레인,303000,-2000,-0.66,2356905.0
88350,한화생명,2760,10,0.36,2397143.0
7070,GS리테일,21900,-250,-1.13,2293322.0
81660,휠라홀딩스,40150,750,1.9,2412848.0
2380,KCC,279500,500,0.18,2483769.0
5290,동진쎄미켐,40750,-600,-1.45,2095141.0
78600,대주전자재료,143600,-2400,-1.64,2223013.0
120,CJ대한통운,99400,100,0.1,2267547.0
8770,호텔신라,56100,300,0.54,2201820.0
8930,한미사이언스,31350,200,0.64,2144075.0
204320,HL만도,45350,2300,5.34,2129505.0
26960,동서,20650,650,3.25,2058805.0
28670,팬오션,4020,-60,-1.47,2148969.0
30000,제일기획,18240,-30,-0.16,2098352.0
192820,코스맥스,185900,1000,0.54,2109874.0
12750,에스원,58300,100,0.17,2215352.0
35760,CJ ENM,86900,3500,4.2,1905643.0
35900,JYP Ent.,57200,-100,-0.17,2032459.0
41510,에스엠,80000,100,0.13,1887162.0
137400,피엔티,84200,4200,5.25,1914809.0
880,한화,26150,-250,-0.95,1960171.0
282330,BGF리테일,113000,-2000,-1.74,1953081.0
5850,에스엘,44200,2300,5.49,2053025.0
7310,오뚜기,497500,5500,1.12,1993895.0
12510,더존비즈온,60600,-5400,-8.18,1841197.0
14680,한솔케미칼,175700,1200,0.69,1991594.0
112610,씨에스윈드,47150,-2000,-4.07,1988382.0
990,DB하이텍,43650,3450,8.58,1937998.0
31980,피에스케이홀딩스,78500,-1500,-1.88,1692648.0
457190,이수스페셜티케미컬,54400,0,0.0,1643330.0
89030,테크윙,45700,2200,5.06,1707062.0
237690,에스티팜,92400,-400,-0.43,1784985.0
240810,원익IPS,34950,-350,-0.99,1715482.0
293490,카카오게임즈,20500,-100,-0.49,1694235.0
9420,한올바이오파마,33750,450,1.35,1763122.0
10060,OCI홀딩스,91500,-1800,-1.93,1790104.0
17800,현대엘리베이,43300,-850,-1.93,1692700.0
23530,롯데쇼핑,64000,-800,-1.23,1810480.0
51600,한전KPS,36450,-300,-0.82,1640250.0
103140,풍산,58200,800,1.39,1631013.0
139480,이마트,58200,100,0.17,1622373.0
280360,롯데웰푸드,190300,13300,7.51,1795399.0
36930,주성엔지니어링,34750,350,1.02,1676660.0
36830,솔브레인홀딩스,73700,-3400,-4.41,1545051.0
336260,두산퓨얼셀,21950,-50,-0.23,1437587.0
121600,나노신소재,125400,-1000,-0.79,1529388.0
178320,서진시스템,29000,0,0.0,1615370.0
214450,파마리서치,139300,7500,5.69,1450534.0
328130,루닛,49600,-800,-1.59,1429999.0
80,하이트진로,21600,-100,-0.46,1514886.0
240,한국앤컴퍼니,15050,-70,-0.46,1428775.0
2710,TCC스틸,56700,1400,2.53,1486317.0
4170,신세계,161000,600,0.37,1585074.0
4490,세방전지,113500,5600,5.19,1589000.0
11210,현대위아,57100,-600,-1.04,1552839.0
42670,HD현대인프라코어,7930,-20,-0.25,1582855.0
47040,대우건설,3720,5,0.13,1546116.0
111770,영원무역,33950,-300,-0.88,1504374.0
161890,한국콜마,66900,-1100,-1.62,1579180.0
298020,효성티앤씨,366500,-1000,-0.27,1586095.0
298050,효성첨단소재,338000,4500,1.35,1514222.0
95340,ISC,68600,-2500,-3.52,1454118.0
34230,파라다이스,14290,-230,-1.58,1311416.0
375500,DL이앤씨,34900,300,0.87,1350407.0
67160,SOOP,105900,-2600,-2.4,1217296.0
112040,위메이드,40100,100,0.25,1361334.0
140410,메지온,40400,550,1.38,1202087.0
140860,파크시스템스,178000,-700,-0.39,1241703.0
204270,제이앤티씨,22100,3150,16.62,1278451.0
214370,케어젠,23550,350,1.51,1264988.0
253450,스튜디오드래곤,41300,150,0.36,1241416.0
281740,레이크머티리얼즈,19570,-370,-1.86,1286347.0
3690,코리안리,7730,40,0.52,1278291.0
4000,롯데정밀화학,46300,-100,-0.22,1194540.0
5300,롯데칠성,144800,1800,1.26,1343582.0
6110,삼아알미늄,86600,700,0.81,1274052.0
6280,녹십자,116000,300,0.26,1355638.0
6360,GS건설,14600,40,0.27,1249490.0
14820,동원시스템즈,47250,1900,4.19,1369838.0
69620,대웅제약,104100,400,0.39,1206162.0
137310,에스디바이오센서,10760,100,0.94,1339376.0
139130,DGB금융지주,7840,-20,-0.25,1326103.0
145720,덴티움,111700,1800,1.64,1236388.0
185750,종근당,102100,400,0.39,1345108.0
39200,오스코텍,32900,-150,-0.45,1250001.0
56190,에스에프에이,27650,100,0.36,992877.0
353200,대덕전자,22350,-50,-0.22,1104468.0
74600,원익QnC,37750,-650,-1.69,992372.0
84370,유진테크,49800,-1000,-1.97,1141219.0
96530,씨젠,21550,950,4.61,1125470.0
166090,하나머티리얼즈,59200,400,0.68,1170838.0
195940,HK이노엔,38000,2250,6.29,1076536.0
222800,심텍,36100,250,0.7,1149935.0
225570,넥슨게임즈,15750,470,3.08,1036409.0
287410,제이시스메디칼,12810,10,0.08,981731.0
298380,에이비엘바이오,21500,-400,-1.83,1033027.0
383310,에코프로에이치엔,66500,-1000,-1.48,1017778.0
393890,더블유씨피,31300,-1150,-3.54,1054701.0
210,DL,56500,1100,1.99,1184007.0
1120,LX인터내셔널,29200,-350,-1.18,1131792.0
1740,SK네트웍스,4905,15,0.31,1085368.0
1800,오리온홀딩스,15900,220,1.4,996062.0
3620,KG모빌리티,5500,-60,-1.08,1073892.0
4800,효성,58000,-1100,-1.86,1187047.0
5420,코스모화학,28700,-800,-2.71,1102316.0
9970,영원무역홀딩스,82100,1100,1.36,1119482.0
69960,현대백화점,49050,-50,-0.1,1147890.0
108320,LX세미콘,72100,3300,4.8,1172656.0
120110,코오롱인더,39350,200,0.51,1082876.0
248070,솔루엠,22250,200,0.91,1112624.0
267270,HD현대건설기계,56200,-100,-0.18,1059207.0
294870,HDC현대산업개발,17080,-30,-0.18,1125697.0
336370,솔루스첨단소재,16410,-630,-3.7,1152267.0
67310,하나마이크론,22100,200,0.91,1152945.0
9520,포스코엠텍,21250,-600,-2.75,884907.0
456040,OCI,100100,-2900,-2.82,896145.0
36540,SFA반도체,5340,50,0.95,878218.0
67630,HLB생명과학,8860,100,1.14,953850.0
85660,차바이오텍,16200,0,0.0,912294.0
86900,메디톡스,132000,500,0.38,963402.0
98460,고영,12260,-260,-2.08,841707.0
101490,에스앤에스텍,38500,-200,-0.52,825881.0
122870,와이지엔터테인먼트,40800,100,0.25,762595.0
222080,씨아이에스,12020,320,2.74,858719.0
278280,천보,77400,-1000,-1.28,774000.0
365340,성일하이텍,79300,-1200,-1.49,962313.0
399720,가온칩스,78500,-2500,-3.09,901833.0
3030,세아제강지주,195600,-1800,-0.91,810108.0
3090,대웅,16700,110,0.66,970971.0
6120,SK디스커버리,41250,450,1.1,774917.0
6650,대한유화,139900,-300,-0.21,909350.0
7340,DN오토모티브,81000,-2100,-2.53,809514.0
8730,율촌화학,38150,-1550,-3.9,946120.0
9900,명신산업,15170,200,1.34,795972.0
23590,다우기술,18820,40,0.21,844390.0
32350,롯데관광개발,9950,-110,-1.09,758049.0
39130,하나투어,59000,200,0.34,946312.0
69260,TKG휴켐스,19340,-470,-2.37,790592.0
85620,미래에셋생명,4665,5,0.11,825781.0
89590,제주항공,10620,-100,-0.93,856407.0
93370,후성,7790,-180,-2.26,835519.0
100090,SK오션플랜트,14330,-70,-0.49,848272.0
105630,한세실업,21700,800,3.83,868000.0
114090,GKL,13440,-210,-1.54,831340.0
178920,PI첨단소재,26100,100,0.38,766461.0
192080,더블유게임즈,43800,600,1.39,941521.0
195870,해성디에스,45250,950,2.14,769250.0
285130,SK케미칼,49950,-350,-0.7,861826.0
25900,동화기업,17080,-320,-1.84,863429.0
3380,하림지주,6280,120,1.95,703395.0
192650,드림텍,9250,0,0.0,637069.0
48410,현대바이오,18690,-10,-0.05,744247.0
58970,엠로,60700,2500,4.3,680576.0
64550,바이오니아,28950,500,1.76,747208.0
131970,두산테스나,40450,50,0.12,687916.0
189300,인텔리안테크,57500,-700,-1.2,617167.0
215200,메가스터디교육,59000,1100,1.9,685927.0
336570,원텍,8050,0,0.0,719192.0
348210,넥스틴,69000,400,0.58,714658.0
372170,윤성에프앤씨,80700,-100,-0.12,643909.0
376300,디어유,24550,-850,-3.35,582778.0
418550,제이오,23450,-600,-2.49,745060.0
420770,기가비스,53200,-2400,-4.32,674350.0
1060,JW중외제약,27400,-1100,-3.86,638034.0
1430,세아베스틸지주,20850,100,0.48,747725.0
16380,KG스틸,6490,-80,-1.22,649058.0
15750,성우하이텍,9270,450,5.1,741600.0
