종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
060310,3S,KOSDAQ,기계·장비,2785,-45,-1.59,142270727970
054620,APS,KOSDAQ,금융,6810,10,0.15,135479645010
265520,AP시스템,KOSDAQ,반도체,28350,-250,-0.87,433228285350
211270,AP위성,KOSDAQ,통신장비,15390,-310,-1.97,232116658560
109960,AP헬스케어,KOSDAQ,유통,731,-27,-3.56,83445313756
139050,BF랩스,KOSDAQ,컴퓨터서비스,2805,0,0.0,24247965555
126600,BGF에코머티리얼즈,KOSDAQ,화학,4790,200,4.36,258819387250
013720,CBI,KOSDAQ,운송장비·부품,1350,-2,-0.15,60247983600
083790,CG인바이츠,KOSDAQ,기타서비스,2355,20,0.86,181085798610
035760,CJ ENM,KOSDAQ,방송서비스,84100,-1400,-1.64,1844241851400
311690,CJ 바이오사이언스,KOSDAQ,기타서비스,13540,-210,-1.53,123383277080
051500,CJ프레시웨이,KOSDAQ,유통,21450,0,0.0,254645519700
058820,CMG제약,KOSDAQ,제약,2125,-30,-1.39,295146018500
023460,CNH,KOSDAQ,금융,2560,586,29.69,95232000000
056730,CNT85,KOSDAQ,건설,938,2,0.21,69516292468
065770,CS,KOSDAQ,통신장비,1266,-12,-0.94,24574490580
083660,CSA 코스믹,KOSDAQ,화학,1233,-10,-0.8,75517774173
456440,DB금융스팩11호,KOSDAQ,금융,2265,0,0.0,12038475000
060900,DGP,KOSDAQ,전기·가스·수도,1304,-9,-0.69,32936730616
290120,DH오토리드,KOSDAQ,운송장비·부품,2870,85,3.05,44528446060
025440,DH오토웨어,KOSDAQ,일반전기전자,438,4,0.92,67410880560
068790,DMS,KOSDAQ,기계·장비,6350,-90,-1.4,156038937350
241520,DSC인베스트먼트,KOSDAQ,금융,3800,-25,-0.65,104485275000
180400,DXVX,KOSDAQ,기타서비스,2710,-140,-4.91,81894660720
245620,EDGC,KOSDAQ,기타서비스,415,0,0.0,57474989665
037370,EG,KOSDAQ,화학,8880,30,0.34,76589751360
050120,ES큐브,KOSDAQ,유통,2290,20,0.88,31061756940
214270,FSN,KOSDAQ,출판·매체복제,2010,0,0.0,66833430630
130500,GH신소재,KOSDAQ,섬유·의류,2870,-5,-0.17,41744299240
900290,GRT,KOSDAQ,금융,3295,0,0.0,222000625000
083450,GST,KOSDAQ,반도체,45150,150,0.33,420696186750
297890,HB솔루션,KOSDAQ,기계·장비,7470,350,4.92,546163955460
440290,HB인베스트먼트,KOSDAQ,금융,2610,-5,-0.19,70749296100
078150,HB테크놀러지,KOSDAQ,기계·장비,3020,-80,-2.58,280002066320
195940,HK이노엔,KOSDAQ,제약,35650,-50,-0.14,1009960614150
028300,HLB,KOSDAQ,제약,63600,3000,4.95,8321765150400
278650,HLB바이오스텝,KOSDAQ,기타서비스,2635,20,0.76,228535102015
067630,HLB생명과학,KOSDAQ,제약,8870,-50,-0.56,954871261990
024850,HLB이노베이션,KOSDAQ,반도체,3035,55,1.85,219667396925
047920,HLB제약,KOSDAQ,기타서비스,20350,930,4.79,646722877900
