종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
060310,3S,KOSDAQ,기계·장비,2615,-15,-0.57,133586338830
054620,APS,KOSDAQ,금융,7680,820,11.95,152787617280
265520,AP시스템,KOSDAQ,반도체,26600,-1250,-4.49,406485798600
211270,AP위성,KOSDAQ,통신장비,14250,-500,-3.39,214922832000
109960,AP헬스케어,KOSDAQ,유통,681,-41,-5.68,77737699956
139050,BF랩스,KOSDAQ,컴퓨터서비스,2805,0,0.0,24247965555
126600,BGF에코머티리얼즈,KOSDAQ,화학,4370,-85,-1.91,236125411750
013720,CBI,KOSDAQ,운송장비·부품,1303,2,0.15,58150461208
083790,CG인바이츠,KOSDAQ,기타서비스,2535,-65,-2.5,194926751370
035760,CJ ENM,KOSDAQ,방송서비스,83200,-1600,-1.89,1824505612800
311690,CJ 바이오사이언스,KOSDAQ,기타서비스,13060,40,0.31,119009276120
051500,CJ프레시웨이,KOSDAQ,유통,21300,-150,-0.7,252864781800
058820,CMG제약,KOSDAQ,제약,2120,-35,-1.62,294451557280
023460,CNH,KOSDAQ,금융,2570,25,0.98,95604000000
056730,CNT85,KOSDAQ,건설,892,-3,-0.34,66107177912
065770,CS,KOSDAQ,통신장비,1240,-2,-0.16,24069801200
083660,CSA 코스믹,KOSDAQ,화학,1215,0,0.0,74415324915
456440,DB금융스팩11호,KOSDAQ,금융,2230,10,0.45,11852450000
477760,DB금융스팩12호,KOSDAQ,금융,2050,-5,-0.24,11972000000
060900,DGP,KOSDAQ,전기·가스·수도,1235,-38,-2.99,31193912815
290120,DH오토리드,KOSDAQ,운송장비·부품,2915,-20,-0.68,45226627270
025440,DH오토웨어,KOSDAQ,일반전기전자,403,-1,-0.25,62024166360
068790,DMS,KOSDAQ,기계·장비,6350,-50,-0.78,156038937350
241520,DSC인베스트먼트,KOSDAQ,금융,3370,-110,-3.16,92661941250
180400,DXVX,KOSDAQ,기타서비스,2615,-75,-2.79,79023814680
245620,EDGC,KOSDAQ,기타서비스,415,0,0.0,57474989665
037370,EG,KOSDAQ,화학,8320,-170,-2.0,71759767040
050120,ES큐브,KOSDAQ,유통,2325,-70,-2.92,31536499950
214270,FSN,KOSDAQ,출판·매체복제,1890,-8,-0.42,62843375070
